symbol,close,demand_zone_D,demand_fresh,demand_quality,near_demand,supply_zone_D,near_supply,demand_zone_W,supply_zone_W,last_BoS,last_ChoCh,bos_dir,bull_OB,bear_OB,bull_OB_unmitigated,unfilled_bull_FVG,unfilled_bear_FVG,nearest_bull_FVG_below,nearest_bear_FVG_above,buyside_liq_above,sellside_liq_below,liquidity_swept,equal_highs,equal_lows,pd_zone,range_pos_pct,range_high,range_low,in_discount,structure_D,structure_W,structure_aligned
542669,55.65,"53.06-56.45 (Moderate, tested, -1.42% away)",False,Moderate,True,none,False,"30.63-44.48 (Moderate, FRESH, 25.11% away)",none,bear @ 55.7 on 2026-07-03,bear @ 55.7 on 2026-07-03,bear,"53.2-54.85 (2026-06-02, UNMITIGATED)","61.8-63.78 (2026-06-09, mitigated)",True,9,1,54.53-59.3 (2026-06-05),59.87-60.25 (2026-06-23),none,36.05,none,0,3,Premium,75.6,65.19,26.06,False,ranging,bearish (LH/LL),False
SAILIFE,1257.3,"920.15-1014.95 (Moderate, tested, 23.88% away)",False,Moderate,False,none,False,none,none,bull @ 1175.6 on 2026-06-05,bull @ 1009.0 on 2026-04-23,bull,"1102.0-1138.1 (2026-05-22, mitigated)","1102.0-1139.4 (2026-05-11, mitigated)",False,1,0,1150.5-1157.0 (2026-06-05),none,none,884.38,none,3,1,Premium,99.4,1260.0,783.85,False,bullish (HH/HL),bullish (HH/HL),True
TPLPLASTEH,87.16,"60.0-66.8 (Moderate, tested, 30.48% away)",False,Moderate,False,none,False,"59.44-68.99 (Moderate, tested, 26.34% away)",none,bull @ 75.39 on 2026-07-03,bull @ 65.0 on 2026-05-26,bull,"62.53-64.96 (2026-05-20, mitigated)","65.82-68.86 (2026-05-06, mitigated)",False,1,0,68.58-71.27 (2026-06-23),none,none,65.55,none,4,3,Premium,99.4,87.4,50.01,False,ranging,bullish (HH/HL),False
COMSYN,200.31,"153.2-183.0 (Moderate, tested, 9.46% away)",False,Moderate,False,"183.75-199.9 (Moderate, tested, -8.27% above)",False,"152.9-171.0 (Moderate, tested, 17.14% away)",none,bull @ 172.0 on 2026-07-02,bull @ 172.0 on 2026-07-02,bull,"153.2-183.0 (2026-07-01, mitigated)","169.0-172.0 (2026-06-15, mitigated)",False,0,0,none,none,none,152.68,none,2,2,Premium,92.6,205.0,141.6,False,bullish (HH/HL),ranging,False
UNIPARTS,652.45,none,,none,False,none,False,"400.0-433.0 (Moderate, tested, 50.68% away)",none,bull @ 654.0 on 2026-06-12,bull @ 507.2 on 2026-02-10,bull,"527.6-548.1 (2026-05-06, mitigated)","555.9-581.95 (2026-05-08, mitigated)",False,6,0,604.95-619.1 (2026-06-04),none,none,649.12,sell-side swept (bullish stop-hunt),2,3,Premium,82.6,705.8,399.8,False,bullish (HH/HL),bullish (HH/HL),True
MARINE,280.3,"205.01-221.4 (Moderate, tested, 26.6% away)",False,Moderate,False,none,False,none,none,bear @ 239.95 on 2026-06-08,bear @ 239.95 on 2026-06-08,bear,"235.01-242.76 (2026-05-25, mitigated)","231.93-249.25 (2026-05-08, mitigated)",False,9,0,268.75-274.05 (2026-06-30),none,none,225.31,none,1,4,Premium,88.0,297.9,150.86,False,bullish (HH/HL),bearish (LH/LL),False
535916,67.73,"54.0-61.0 (Moderate, FRESH, 11.03% away)",True,Moderate,False,none,False,"53.15-66.98 (Moderate, tested, 1.12% away)",none,bear @ 66.22 on 2026-06-30,bear @ 66.22 on 2026-06-30,bear,"58.99-60.0 (2026-04-29, UNMITIGATED)","58.5-61.35 (2026-03-20, mitigated)",True,1,1,58.96-62.6 (2026-05-05),71.49-72.5 (2026-06-19),none,none,none,1,0,Premium,67.2,79.3,43.99,False,bullish (HH/HL),bullish (HH/HL),True
SUNFLAG,353.35,"285.51-385.35 (Moderate, tested, -8.3% away)",False,Moderate,False,"357.75-414.9 (Moderate, tested, 1.25% above)",True,"209.25-306.6 (Moderate, FRESH, 15.25% away)",none,bear @ 357.75 on 2026-06-08,bear @ 357.75 on 2026-06-08,bear,"338.9-343.4 (2026-06-30, UNMITIGATED)","384.0-414.9 (2026-06-04, UNMITIGATED)",True,9,1,345.0-350.1 (2026-07-03),367.0-384.0 (2026-06-08),427.6,333.35,none,2,2,Premium,68.3,428.0,192.15,False,bearish (LH/LL),ranging,False
SALSTEEL,56.5,"37.6-45.49 (Moderate, tested, 24.2% away)",False,Moderate,False,none,False,"33.65-45.8 (Moderate, FRESH, 23.36% away)",none,bear @ 55.0 on 2026-06-18,bear @ 55.0 on 2026-06-18,bear,"53.0-56.0 (2026-06-30, UNMITIGATED)",none,True,4,0,56.0-56.75 (2026-07-02),none,none,53.06,sell-side swept (bullish stop-hunt),0,1,Premium,71.7,65.5,33.65,False,ranging,bullish (HH/HL),False
CARYSIL,1162.1,"882.6-942.0 (Moderate, FRESH, 23.37% away)",True,Moderate,False,none,False,"856.8-969.0 (Moderate, FRESH, 19.93% away)",none,bull @ 1171.6 on 2026-06-10,bull @ 847.85 on 2026-04-15,bull,"1051.6-1123.0 (2026-06-08, UNMITIGATED)","949.65-969.0 (2026-05-07, mitigated)",True,3,0,934.0-1028.0 (2026-05-21),none,none,859.2,none,1,2,Premium,83.4,1247.9,732.1,False,bullish (HH/HL),ranging,False
