symbol,name,exchange,CMP,move_start_date,vcp_quality,vcp_status,num_contractions,contractions,C1_pct,C2_pct,C3_pct,depths_decreasing,final_contraction_tight,vdu_confirmed,vdu_ratio,pivot,pct_from_pivot,breakout_vol_ratio,breakout_vol_gt40pct,near_52w_high,num_legs,leg_gains_pct,leg3_highest_pivot,leg3_vol_expansion,fib_ratio_L3_L1,fib_extension,cleared_52w_high,time_contraction,third_leg_confirmed,bars_daily,vcp_leg_score_10
SBCL,Shivalik Bimetal Controls Limited,NSE,712.7,2026-03-24,No VCP,forming / still basing,3.0,C1:-14.4%/4b | C2:-11.5%/3b | C3:-13.6%/3b,14.4,11.5,13.6,False,True,True,0.54,783.0,-8.98,0.55,False,False,3.0,L1:+76% | L2:+13% | L3:+38%,True,False,0.77,0.77x,False,True,False,353.0,6.0
SPECTRUM,Spectrum Electrical Industries Limited,NSE,1769.1,2026-01-12,Moderate VCP,extended past pivot,3.0,C1:-32.2%/14b | C2:-5.8%/3b | C3:-5.7%/7b,32.2,5.8,5.7,True,True,False,4.17,1544.8,14.52,3.61,True,True,8.0,L1:+29% | L2:+17% | L3:+18%,False,False,0.72,0.72x,False,True,False,352.0,6.0
CEMPRO,Cemindia Projects Limited,NSE,1112.8,2026-03-23,Moderate VCP,extended past pivot,3.0,C1:-10.7%/2b | C2:-2.7%/2b | C3:-8.9%/4b,10.7,2.7,8.9,False,True,True,0.56,930.0,19.66,0.72,False,True,3.0,L1:+30% | L2:+55% | L3:+36%,True,False,2.02,2.02x,False,False,False,354.0,6.0
GHCLTEXTIL,GHCL Textiles Limited,NSE,98.77,2026-03-30,No VCP,AT PIVOT (actionable),3.0,C1:-14.7%/5b | C2:-8.4%/4b | C3:-9.6%/3b,14.7,8.4,9.6,False,True,False,1.29,103.37,-4.45,1.35,False,True,3.0,L1:+41% | L2:+12% | L3:+22%,True,True,0.7,0.70x,False,False,True,353.0,6.0
PREMEXPLN,Premier Explosives Limited,NSE,685.65,2026-03-30,No VCP,forming / still basing,3.0,C1:-2.2%/2b | C2:-13.0%/4b | C3:-18.1%/4b,2.2,13.0,18.1,False,False,False,1.08,779.5,-12.04,1.73,True,False,4.0,L1:+49% | L2:+3% | L3:+57%,True,True,1.52,~1.618x,False,False,True,354.0,6.0
AFIL,Akme Fintrade (India) Limited,NSE,10.59,2026-01-29,Moderate VCP,extended past pivot,3.0,C1:-15.5%/7b | C2:-11.7%/7b | C3:-6.7%/6b,15.5,11.7,6.7,True,True,False,1.14,9.39,12.78,2.76,True,True,6.0,L1:+13% | L2:+69% | L3:+14%,False,False,1.78,1.78x,False,True,False,353.0,6.0
542669,BMW Industries Ltd,BSE,60.18,2026-03-30,No VCP,BROKEN OUT (fresh),3.0,C1:-9.8%/1b | C2:-11.1%/1b | C3:-5.9%/2b,9.8,11.1,5.9,False,True,False,1.89,55.98,7.5,3.99,True,True,4.0,L1:+70% | L2:+40% | L3:+12%,False,True,0.34,0.34x,False,True,False,351.0,6.0
ADANIGREEN,Adani Green Energy Limited,NSE,1525.7,2026-01-23,No VCP,BROKEN OUT (fresh),3.0,C1:-10.3%/3b | C2:-4.4%/2b | C3:-5.1%/5b,10.3,4.4,5.1,False,True,False,0.92,1518.0,0.51,2.07,True,True,5.0,L1:+33% | L2:+7% | L3:+57%,False,True,1.8,1.80x,False,True,False,354.0,6.0
PRECWIRE,Precision Wires India Limited,NSE,417.05,2025-09-23,No VCP,forming / still basing,3.0,C1:-9.3%/2b | C2:-9.9%/2b | C3:-9.2%/3b,9.3,9.9,9.2,False,True,True,0.67,460.0,-9.34,0.71,False,False,15.0,L1:+24% | L2:+5% | L3:+39%,False,True,1.82,1.82x,False,True,False,354.0,6.0
KOPRAN,Kopran Limited,NSE,189.08,2026-03-30,No VCP,forming / still basing,3.0,C1:-5.1%/6b | C2:-11.4%/3b | C3:-11.3%/3b,5.1,11.4,11.3,False,True,True,0.27,219.0,-13.66,0.2,False,False,4.0,L1:+49% | L2:+11% | L3:+23%,False,True,0.64,0.64x,False,True,False,354.0,6.0
