rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
210,NAHARSPING,Nahar Spinning Mills Limited,NSE,199.47,2025-12-12,269.9,36.24,998.29,Small,Consumer Cyclical,28570.0,5809119.0,False,276.8,2.49,True,INE290A01027,NAHARSPING.NS,Textile Manufacturing
211,MBAPL,Madhya Bharat Agro Products Limited,NSE,408.6,2025-12-12,553.9,36.21,,,Basic Materials,206735.0,98471760.0,False,,,False,INE900L01010,MBAPL.NS,Agricultural Inputs
212,KISSHT,OnEMI Technology Solutions Limited,NSE,208.63,2026-05-08,284.1,36.17,4796.71,Small,Financial Services,8115819.0,1859662081.0,False,284.7,0.21,True,INE12F801023,KISSHT.NS,Credit Services
213,BHARATFORG,Bharat Forge Limited,NSE,1426.6,2025-12-12,1925.4,36.16,92058.36,Large,Consumer Cyclical,1261075.0,2110673968.0,False,1925.55,0.01,True,INE465A01025,BHARATFORG.NS,Auto Parts
214,ASIANENE,Asian Energy Services Limited,NSE,296.7,2025-12-12,383.8,36.05,1726.46,Small,Energy,237639.0,76518745.0,False,384.1,0.08,True,INE276G01015,ASIANENE.NS,Oil & Gas Equipment & Services
215,ADFFOODS,ADF Foods Limited,NSE,210.78,2025-12-12,286.45,35.9,3149.79,Small,Consumer Defensive,238085.0,55573892.0,False,286.7,0.09,True,INE982B01027,ADFFOODS.NS,Packaged Foods
216,SOUTHWEST,South West Pinnacle Exploration Limited,NSE,195.53,2025-12-12,260.15,35.83,775.13,Small,Energy,282371.0,61015572.0,False,259.85,0.12,True,INE980Y01015,SOUTHWEST.NS,Oil & Gas Equipment & Services
217,JINDALPOLY,Jindal Poly Films Limited,NSE,494.55,2025-12-12,669.9,35.59,2931.5,Small,Consumer Cyclical,226986.0,150634999.0,False,669.5,0.06,True,INE197D01010,JINDALPOLY.NS,Packaging & Containers
218,TIRUPATIFL,Tirupati Forge Limited,NSE,32.81,2025-12-12,43.99,34.94,,,Industrials,464096.0,18318390.0,False,,,False,INE319Y01024,TIRUPATIFL.NS,Metal Fabrication
219,KINGFA,Kingfa Science & Technology (India) Limited,NSE,3853.3,2025-12-12,5196.0,34.85,7043.13,Mid,Basic Materials,6154.0,28471205.0,False,5197.35,0.03,True,INE473D01015,KINGFA.NS,Specialty Chemicals
220,TIMEX,Timex Group India Limited,NSE,344.55,2026-04-23,460.3,34.63,4646.22,Small,Consumer Cyclical,594427.0,245042487.0,False,460.25,0.01,True,INE064A01026,TIMEX.NS,Luxury Goods
221,GROWW,Billionbrains Garage Ventures Limited,NSE,145.13,2025-12-12,195.25,34.24,122491.97,Large,Financial Services,62110762.0,10631222854.0,False,195.25,0.0,True,INE0HOQ01053,GROWW.NS,Capital Markets
222,543542,Kesar India Ltd,BSE,925.0,2025-12-12,1233.25,34.05,3504.08,Small,n/a,10028.0,11904881.0,False,1226.35,0.56,True,INE0L1C01019,543542.BO,
223,AYMSYNTEX,AYM Syntex Limited,NSE,161.31,2025-12-12,218.49,34.03,1280.72,Small,Consumer Cyclical,29943.0,5759256.0,False,218.5,0.0,True,INE193B01039,AYMSYNTEX.NS,Textile Manufacturing
224,GRANULES,Granules India Limited,NSE,574.5,2025-12-12,765.05,33.84,18955.23,Mid,Healthcare,1083939.0,687741379.0,False,764.95,0.01,True,INE101D01020,GRANULES.NS,Drug Manufacturers - Specialty & Generic
