symbol,close,bars,prior_uptrend,pct_above_52w_low,above_ema200,num_contractions,contractions,depths_decreasing,dur_decreasing,vdu_confirmed,vdu_ratio,near_52w_high,pivot,pct_from_pivot,breakout_vol_ratio,breakout_close_pos,vcp_status,vcp_quality,entry_zone,gann_days_since_low,gann_low_price,gann_low_date,gann_gann_unit_per_bar,gann_g1x1,gann_g2x1,gann_g1x2,gann_above_1x1,gann_above_2x1,gann_gann_trend,sq9_T1_+0.25,sq9_T2_+0.5,sq9_T3_+1.0,sq9_S1_-0.25,sq9_S2_-0.5,next_gann_cycle_days,days_to_next_cycle,near_gann_cycle,octave,octave_n,octave_levels,nearest_cardinal_sq,cardinal_dist_pct,near_cardinal,cardinal_below,cardinal_above
ACUTAAS,3619.4,352,True,221.7,True,3,C1:-5.0%/1b | C2:-11.6%/7b | C3:-10.3%/2b,False,False,True,0.52,True,3730.9,-2.99,0.45,0.84,AT PIVOT (actionable),Moderate VCP,3730.9-3917.44,121,1570.0,2026-01-21,10.377,2825.62,4081.23,2197.81,True,False,strong (>1x1),3649.54,3679.81,3740.72,3589.38,3559.49,144,23,True,8/8 (52w high),8,4/8=2432.5 6/8=3086.25 7/8=3413.12,3600,0.54,True,3600,3721
ATLANTAELE,1698.3,199,False,140.0,False,3,C1:-17.4%/3b | C2:-16.3%/5b | C3:-12.5%/5b,True,False,False,0.92,False,1856.1,-8.5,0.98,0.25,forming / still basing,No VCP,n/a,117,707.6,2026-01-27,5.734,1378.49,2049.39,1043.05,True,False,strong (>1x1),1718.97,1739.76,1781.72,1677.76,1657.34,120,3,True,6/8 (75%),6,4/8=1430.1 6/8=1791.35 7/8=1971.98,1681,1.02,True,1681,1764
RUBICON,1439.6,186,False,152.2,False,3,C1:-6.4%/5b | C2:-15.1%/5b | C3:-10.4%/4b,False,True,True,0.51,True,1527.0,-5.72,0.36,0.84,forming / still basing,No VCP,n/a,179,576.0,2025-10-27,3.795,1255.24,1934.48,915.62,True,False,strong (>1x1),1458.63,1477.79,1516.48,1420.69,1401.91,180,1,True,8/8 (52w high),8,4/8=1048.88 6/8=1287.94 7/8=1407.47,1444,0.31,True,1369,1444
SETL,281.1,351,True,168.8,True,3,C1:-8.6%/2b | C2:-13.0%/3b | C3:-9.3%/2b,False,False,True,0.79,True,290.7,-3.3,0.34,0.35,AT PIVOT (actionable),Moderate VCP,290.7-305.24,75,104.56,2026-03-30,0.797,164.3,224.05,134.43,True,True,very strong (>2x1),289.55,298.12,315.63,272.78,264.58,90,15,False,8/8 (52w high),8,4/8=204.93 6/8=255.11 7/8=280.21,289,2.81,False,256,289
OMAXAUTO,228.38,351,True,170.3,True,3,C1:-16.3%/8b | C2:-8.9%/5b | C3:-8.9%/4b,False,True,True,0.76,False,254.36,-10.21,0.5,0.2,forming / still basing,No VCP,n/a,157,84.5,2025-11-28,0.71,195.96,307.42,140.23,True,False,strong (>1x1),236.0,243.74,259.6,220.89,213.52,180,23,False,7/8 (exhaustion),7,4/8=173.95 6/8=218.67 7/8=241.04,225,1.48,True,225,256
PAISALO,71.75,352,True,140.3,True,3,C1:-5.0%/2b | C2:-5.2%/4b | C3:-3.3%/5b,False,False,False,1.93,True,73.99,-3.03,3.25,0.45,AT PIVOT (actionable),No VCP,n/a,85,30.0,2026-03-16,0.189,46.03,62.06,38.02,True,True,very strong (>2x1),76.05,80.47,89.69,67.58,63.53,90,5,True,8/8 (52w high),8,4/8=53.62 6/8=65.51 7/8=71.45,64,10.8,False,64,81
532380,15.99,350,True,166.1,True,3,C1:-12.5%/3b | C2:-5.7%/3b | C3:-11.6%/2b,False,True,True,0.37,True,17.1,-6.49,0.34,0.81,forming / still basing,Moderate VCP,17.1-17.96,147,6.01,2025-12-11,0.045,12.56,19.11,9.29,True,False,strong (>1x1),18.05,20.24,24.99,14.05,12.24,180,33,True,8/8 (52w high),8,4/8=11.62 6/8=14.43 7/8=15.84,16,0.06,True,9,16
INDSWFTLAB,231.47,351,True,165.6,True,3,C1:-11.7%/8b | C2:-5.9%/2b | C3:-11.8%/3b,False,False,True,0.49,True,248.0,-6.67,0.22,0.64,forming / still basing,Moderate VCP,248.0-260.4,135,87.15,2025-12-31,0.64,173.56,259.97,130.36,True,False,strong (>1x1),239.14,246.93,262.9,223.93,216.51,144,9,False,8/8 (52w high),8,4/8=167.8 6/8=208.12 7/8=228.29,225,2.8,False,225,256
SAKAR,877.7,352,True,182.2,True,3,C1:-13.3%/5b | C2:-8.2%/3b | C3:-9.6%/3b,False,True,False,1.39,False,879.2,-0.17,0.56,0.35,AT PIVOT (actionable),No VCP,n/a,179,352.05,2025-10-29,2.575,813.05,1274.04,582.55,True,False,strong (>1x1),892.58,907.58,937.95,862.95,848.32,180,1,True,7/8 (exhaustion),7,4/8=635.5 6/8=797.75 7/8=878.88,900,2.54,False,841,900
GVPIL,792.95,352,True,192.7,True,3,C1:-15.1%/3b | C2:-6.2%/2b | C3:-27.5%/19b,False,False,True,0.68,False,1076.0,-26.31,0.64,0.22,forming / still basing,No VCP,n/a,118,270.9,2026-01-27,3.227,651.64,1032.37,461.27,True,False,strong (>1x1),807.09,821.36,850.27,778.93,765.04,120,2,True,6/8 (75%),6,4/8=677.45 6/8=880.72 7/8=982.36,784,1.13,True,784,841
