symbol,name,exchange,yahoo_ticker,series_or_group,isin,bse_sector,bse_mktcap_cr,isin_norm
DCAL,Dishman Carbogen Amcis Limited,NSE,DCAL.NS,EQ,INE385W01011,,,INE385W01011
DCI,Dc Infotech And Communication Limited,NSE,DCI.NS,BE,INE0A1101019,,,INE0A1101019
DAVANGERE,Davangere Sugar Company Limited,NSE,DAVANGERE.NS,EQ,INE179G01029,,,INE179G01029
DCM,DCM  Limited,NSE,DCM.NS,EQ,INE498A01018,,,INE498A01018
DCMFINSERV,DCM Financial Services Limited,NSE,DCMFINSERV.NS,BE,INE891B01012,,,INE891B01012
DCMNVL,DCM Nouvelle Limited,NSE,DCMNVL.NS,BE,INE08KP01019,,,INE08KP01019
DCMSHRIRAM,DCM Shriram Limited,NSE,DCMSHRIRAM.NS,EQ,INE499A01024,,,INE499A01024
DCMSIL,DCM Shriram International Limited,NSE,DCMSIL.NS,BE,INE0OU201013,,,INE0OU201013
DCMSRIND,DCM Shriram Industries Limited,NSE,DCMSRIND.NS,EQ,INE843D01027,,,INE843D01027
DBCORP,D.B.Corp Limited,NSE,DBCORP.NS,EQ,INE950I01011,,,INE950I01011
DATAPATTNS,Data Patterns (India) Limited,NSE,DATAPATTNS.NS,EQ,INE0IX101010,,,INE0IX101010
CUBEXTUB,Cubex Tubings Limited,NSE,CUBEXTUB.NS,EQ,INE144D01012,,,INE144D01012
CYIENTDLM,Cyient DLM Limited,NSE,CYIENTDLM.NS,EQ,INE055S01018,,,INE055S01018
CUMMINSIND,Cummins India Limited,NSE,CUMMINSIND.NS,EQ,INE298A01020,,,INE298A01020
CUPID,Cupid Limited,NSE,CUPID.NS,EQ,INE509F01029,,,INE509F01029
CURAA,Cura Technologies Limited,NSE,CURAA.NS,EQ,INE117B01020,,,INE117B01020
CYBERMEDIA,Cyber Media (India) Limited,NSE,CYBERMEDIA.NS,BE,INE278G01037,,,INE278G01037
CYBERTECH,Cybertech Systems And Software Limited,NSE,CYBERTECH.NS,EQ,INE214A01019,,,INE214A01019
CYIENT,Cyient Limited,NSE,CYIENT.NS,EQ,INE136B01020,,,INE136B01020
DABUR,Dabur India Limited,NSE,DABUR.NS,EQ,INE016A01026,,,INE016A01026
DATAMATICS,Datamatics Global Services Limited,NSE,DATAMATICS.NS,EQ,INE365B01017,,,INE365B01017
DAICHI,Dai-Ichi Karkaria Limited,NSE,DAICHI.NS,EQ,INE928C01010,,,INE928C01010
DALBHARAT,Dalmia Bharat Limited,NSE,DALBHARAT.NS,EQ,INE00R701025,,,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,DALMIASUG.NS,EQ,INE495A01022,,,INE495A01022
DAMCAPITAL,Dam Capital Advisors Limited,NSE,DAMCAPITAL.NS,EQ,INE284H01025,,,INE284H01025
DAMODARIND,Damodar Industries Limited,NSE,DAMODARIND.NS,EQ,INE497D01022,,,INE497D01022
DANGEE,Dangee Dums Limited,NSE,DANGEE.NS,EQ,INE688Y01022,,,INE688Y01022
BELRISE,Belrise Industries Limited,NSE,BELRISE.NS,EQ,INE894V01022,,,INE894V01022
BELLACASA,Bella Casa Fashion & Retail Limited,NSE,BELLACASA.NS,EQ,INE344T01014,,,INE344T01014
BEL,Bharat Electronics Limited,NSE,BEL.NS,EQ,INE263A01024,,,INE263A01024
AFSL,Abans Financial Services Limited,NSE,AFSL.NS,EQ,INE00ZE01026,,,INE00ZE01026
AKASH,Akash Infra-Projects Limited,NSE,AKASH.NS,EQ,INE737W01013,,,INE737W01013
AKCAPIT,AK Capital Services Limited,NSE,AKCAPIT.NS,EQ,INE701G01012,,,INE701G01012
AKG,Akg Exim Limited,NSE,AKG.NS,EQ,INE00Y801016,,,INE00Y801016
AKI,AKI India Limited,NSE,AKI.NS,EQ,INE642Z01026,,,INE642Z01026
AKSHAR,Akshar Spintex Limited,NSE,AKSHAR.NS,EQ,INE256Z01025,,,INE256Z01025
AKSHARCHEM,AksharChem India Limited,NSE,AKSHARCHEM.NS,EQ,INE542B01011,,,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,NSE,AKSHOPTFBR.NS,BE,INE523B01011,,,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE,AKUMS.NS,EQ,INE09XN01023,,,INE09XN01023
ALANKIT,Alankit Limited,NSE,ALANKIT.NS,EQ,INE914E01040,,,INE914E01040
ALBERTDAVD,Albert David Limited,NSE,ALBERTDAVD.NS,EQ,INE155C01010,,,INE155C01010
ALEMBICLTD,Alembic Limited,NSE,ALEMBICLTD.NS,EQ,INE426A01027,,,INE426A01027
ALGOQUANT,Algoquant Fintech Limited,NSE,ALGOQUANT.NS,EQ,INE598D01035,,,INE598D01035
ALICON,Alicon Castalloy Limited,NSE,ALICON.NS,EQ,INE062D01024,,,INE062D01024
ALIVUS,Alivus Life Sciences Limited,NSE,ALIVUS.NS,EQ,INE03Q201024,,,INE03Q201024
ALKALI,Alkali Metals Limited,NSE,ALKALI.NS,BE,INE773I01017,,,INE773I01017
AJOONI,Ajooni Biotech Limited,NSE,AJOONI.NS,EQ,INE820Y01021,,,INE820Y01021
AJMERA,Ajmera Realty & Infra India Limited,NSE,AJMERA.NS,EQ,INE298G01035,,,INE298G01035
AJAXENGG,Ajax Engineering Limited,NSE,AJAXENGG.NS,EQ,INE274Y01021,,,INE274Y01021
AHLADA,Ahlada Engineers Limited,NSE,AHLADA.NS,EQ,INE00PV01013,,,INE00PV01013
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE,AGARWALEYE.NS,EQ,INE943P01029,,,INE943P01029
AGI,AGI Greenpac Limited,NSE,AGI.NS,EQ,INE415A01038,,,INE415A01038
AGIIL,Agi Infra Limited,NSE,AGIIL.NS,EQ,INE976R01033,,,INE976R01033
AGRITECH,Agri-Tech (India) Limited,NSE,AGRITECH.NS,EQ,INE449G01018,,,INE449G01018
AGROPHOS,Agro Phos India Limited,NSE,AGROPHOS.NS,EQ,INE740V01019,,,INE740V01019
AHCL,Anlon Healthcare Limited,NSE,AHCL.NS,EQ,INE0Y8W01025,,,INE0Y8W01025
AHLEAST,Asian Hotels (East) Limited,NSE,AHLEAST.NS,EQ,INE926K01017,,,INE926K01017
AJANTPHARM,Ajanta Pharma Limited,NSE,AJANTPHARM.NS,EQ,INE031B01049,,,INE031B01049
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE,AHLUCONT.NS,EQ,INE758C01029,,,INE758C01029
AHLWEST,Asian Hotels (West) Limited,NSE,AHLWEST.NS,BE,INE915K01010,,,INE915K01010
AIAENG,AIA Engineering Limited,NSE,AIAENG.NS,EQ,INE212H01026,,,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,NSE,AIIL.NS,EQ,INE206F01022,,,INE206F01022
AIRAN,Airan Limited,NSE,AIRAN.NS,EQ,INE645W01026,,,INE645W01026
AIROLAM,Airo Lam limited,NSE,AIROLAM.NS,EQ,INE801L01010,,,INE801L01010
ALKEM,Alkem Laboratories Limited,NSE,ALKEM.NS,EQ,INE540L01014,,,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE,ALKYLAMINE.NS,EQ,INE150B01039,,,INE150B01039
