symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker,robust_return_pct,robust_now,robust_past,live_today_2ndsrc,price_mismatch_pct,return_delta_raw_vs_robust,robust_below_25
GULPOLY,Gulshan Polyols Limited,NSE,131.87,2026-01-20,176.73,34.02,,,,262624.0,48112589.0,False,INE255D01024,GULPOLY.NS,35.84,181.7,133.76,,,1.82,False
539682,Mobavenue AI Tech Ltd,BSE,222.37,2026-01-20,307.0,38.06,,,,46008.0,12395539.0,False,INE622Q01027,539682.BO,35.82,313.45,230.78,307.0,0.0,2.24,False
ANANDRATHI,Anand Rathi Wealth Limited,NSE,1533.45,2026-01-20,2072.7,35.17,,,,578800.0,974245552.0,False,INE463V01026,ANANDRATHI.NS,35.69,2080.8,1533.45,,,0.52,False
QUADFUTURE,Quadrant Future Tek Limited,NSE,304.8,2026-01-20,405.0,32.87,,,,1287379.0,434795546.0,False,INE0LRY01011,QUADFUTURE.NS,35.61,422.5,311.55,,,2.74,False
KSL,Kalyani Steels Limited,NSE,678.6,2026-01-20,926.05,36.46,,,,52187.0,40787512.0,False,INE907A01026,KSL.NS,35.32,926.05,684.35,,,1.14,False
AUROPHARMA,Aurobindo Pharma Limited,NSE,1141.7,2026-01-20,1533.4,34.31,,,,1384791.0,1838141096.0,False,INE406A01037,AUROPHARMA.NS,35.27,1549.3,1145.3,,,0.96,False
RPPL,Rajshree Polypack Limited,NSE,16.04,2026-01-20,22.26,38.78,,,,110977.0,2033680.0,False,INE760W01023,RPPL.NS,35.15,22.26,16.47,,,3.63,False
COSMOFIRST,COSMO FIRST LIMITED,NSE,588.4,2026-01-20,835.05,41.92,,,,108514.0,78552000.0,False,INE757A01017,COSMOFIRST.NS,35.14,828.5,613.05,,,6.78,False
NETWEB,Netweb Technologies India Limited,NSE,3234.8,2026-01-20,4244.3,31.21,,,,1700206.0,6514854256.0,False,INE0NT901020,NETWEB.NS,35.14,4371.4,3234.8,,,3.93,False
KPRMILL,K.P.R. Mill Limited,NSE,812.85,2026-01-20,1140.3,40.28,,,,593729.0,599332948.0,False,INE930H01031,KPRMILL.NS,35.14,1131.7,837.4,,,5.14,False
NUVAMA,Nuvama Wealth Management Limited,NSE,1421.4,2026-01-20,1863.1,31.07,,,,503512.0,741344033.0,False,INE531F01023,NUVAMA.NS,35.03,1919.3,1421.4,,,3.96,False
GANDHAR,Gandhar Oil Refinery (India) Limited,NSE,153.19,2026-01-20,207.93,35.73,,,,1155903.0,191766299.0,False,INE717W01049,GANDHAR.NS,35.01,206.82,153.19,,,0.72,False
MUTHOOTMF,Muthoot Microfin Limited,NSE,177.99,2026-01-20,240.06,34.87,,,,613305.0,124394620.0,False,INE046W01019,MUTHOOTMF.NS,34.77,244.02,181.07,,,0.1,False
REFEX,Refex Industries Limited,NSE,243.3,2026-01-20,306.8,26.1,,,,1687578.0,478527387.0,False,INE056I01025,REFEX.NS,34.71,322.1,239.1,,,8.61,False
UNIMECH,Unimech Aerospace and Manufacturing Limited,NSE,898.75,2026-01-20,1282.8,42.73,,,,110952.0,110898898.0,False,INE0U3I01011,UNIMECH.NS,34.44,1206.5,897.45,,,8.29,False
DYCL,Dynamic Cables Limited,NSE,285.0,2026-01-20,386.5,35.61,,,,397866.0,136183176.0,False,INE600Y01019,DYCL.NS,34.4,387.4,288.25,,,1.21,False
POKARNA,Pokarna Limited,NSE,715.55,2026-01-20,967.3,35.18,,,,167765.0,165463764.0,False,INE637C01025,POKARNA.NS,34.4,1003.2,746.45,,,0.78,False
RACLGEAR,RACL Geartech Limited,NSE,974.1,2026-01-20,1341.1,37.68,,,,74188.0,99890815.0,False,INE704B01017,RACLGEAR.NS,34.35,1328.7,989.0,,,3.33,False
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,NSE,440.05,2026-01-20,599.05,36.13,,,,468790.0,236850815.0,False,INE304W01038,BLUESTONE.NS,34.25,605.2,450.8,,,1.88,False
515043,Saint Gobain Sekurit India Ltd,BSE,98.95,2026-01-20,132.8,34.21,,,,54608.0,6353662.0,False,INE068B01017,515043.BO,34.24,133.1,99.15,132.8,0.0,0.03,False
ELGIEQUIP,Elgi Equipments Limited,NSE,415.55,2026-01-20,581.7,39.98,,,,535941.0,281565783.0,False,INE285A01027,ELGIEQUIP.NS,34.23,576.65,429.6,,,5.75,False
