rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
178,SHRIPISTON,SPR Auto Technologies Limited,NSE,Consumer Cyclical,,47.2,4169.9,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),8/8 (52w high),22,17,13,5,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5
179,SPARC,Sun Pharma Advanced Research Company Limited,NSE,Healthcare,,81.55,235.2,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),23,15,8,11,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
180,BHAGERIA,Bhageria Industries Limited,NSE,Basic Materials,,26.34,203.49,NEUTRAL,No VCP,forming / still basing,Premium,ranging,6/8 (75%),24,17,5,11,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
181,MMWL,Media Matrix Worldwide Limited,NSE,Communication Services,,37.18,14.13,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,6/8 (75%),22,12,12,11,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
182,ATGL,Adani Total Gas Limited,NSE,Utilities,,29.72,706.6,NEUTRAL,No VCP,forming / still basing,Premium,ranging,5/8,20,20,5,12,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
183,GCSL,Gretex Corporate Services Limited,NSE,Financial Services,,76.8,525.7,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),21,17,10,9,57,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
184,CGPOWER,CG Power and Industrial Solutions Limited,NSE,Industrials,,57.6,905.0,NEUTRAL,Moderate VCP,forming / still basing,Premium,ranging,7/8 (exhaustion),20,15,13,9,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5;D_time_cycle:4
185,NGLFINE,NGL Fine-Chem Limited,NSE,Healthcare,,104.47,3131.9,MILD BULLISH,Strong VCP,forming / still basing,Premium,ranging,8/8 (52w high),23,12,13,9,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5;D_time_cycle:4
186,KRISHNADEF,Krishna Defence And Allied Industries Limited,NSE,Industrials,,39.97,1281.1,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),27,9,12,9,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
187,APOLLO,Apollo Micro Systems Limited,NSE,Industrials,,71.24,397.8,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),20,17,15,5,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
