rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
393,CUMMINSIND,Cummins India Limited,NSE,Industrials,,35.14,5448.0,BEARISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),7/8 (exhaustion),18,12,7,9,46,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_atr_expanding:3;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
394,SPECTRUM,Spectrum Electrical Industries Limited,NSE,Industrials,,79.13,1959.3,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),19,17,5,5,46,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5
395,MMFL,MM Forgings Limited,NSE,Industrials,,31.57,527.6,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),13,17,10,5,45,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
396,SHREEJISPG,Shreeji Shipping Global Limited,NSE,Industrials,,74.43,596.3,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),16,17,3,9,45,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
397,JITFINFRA,JITF Infralogistics Limited,NSE,Industrials,,46.9,367.7,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),5/8,16,14,3,12,45,EXCLUDE,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
398,ADOR,Ador Welding Limited,NSE,Industrials,,34.14,1384.1,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),25,12,3,5,45,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
399,SURYODAY,Suryoday Small Finance Bank Limited,NSE,Financial Services,,28.81,179.79,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),25,12,3,5,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
400,GOKULAGRO,Gokul Agro Resources Limited,NSE,Consumer Defensive,,31.43,211.74,BEARISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),10,10,10,15,45,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
401,SILVERTUC,Silver Touch Technologies Limited,NSE,Technology,,29.9,197.72,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,1/8,25,7,10,3,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_supertrend_green:3;A_atr_expanding:3;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_room_to_run:3
402,THEMISMED,Themis Medicare Limited,NSE,Healthcare,,31.7,109.9,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,5/8,20,12,5,8,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_room_to_run:3
403,AEROFLEX,Aeroflex Industries Limited,NSE,Industrials,,143.06,410.6,NEUTRAL,No VCP,forming / still basing,Premium,bearish (LH/LL),6/8 (75%),16,9,5,15,45,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_adx_20_28:4;B_discount_or_demand:5;B_fvg:4;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
404,542669,BMW Industries Ltd,BSE,,,40.55,53.03,NEUTRAL,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),15,7,12,11,45,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
405,EMMVEE,Emmvee Photovoltaic Power Limited,NSE,Technology,,65.63,345.05,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),24,9,3,9,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
406,UNIVPHOTO,Universus Photo Imagings Limited,NSE,Healthcare,,120.7,436.3,BULLISH,No VCP,extended past pivot,Premium,ranging,7/8 (exhaustion),16,20,0,9,45,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;D_above_1x1:5;D_time_cycle:4
407,526433,ASM Technologies Ltd,BSE,,,49.33,4099.7,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),25,12,3,5,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
408,GHCLTEXTIL,GHCL Textiles Limited,NSE,Consumer Cyclical,,59.74,113.7,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),16,17,7,5,45,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
409,CORONA,CORONA Remedies Limited,NSE,Healthcare,,41.36,2062.2,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),12,12,12,9,45,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
410,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,Basic Materials,,34.83,1594.0,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,8/8 (52w high),26,7,7,5,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_atr_expanding:3;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
411,GAYAPROJ,Gayatri Projects Limited,NSE,Industrials,,82.81,22.12,MILD BULLISH,No VCP,BROKEN OUT (fresh),Premium,bearish (LH/LL),7/8 (exhaustion),22,12,7,4,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_atr_expanding:3;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_time_cycle:4
412,SINDHUTRAD,Sindhu Trade Links Limited,NSE,Industrials,,32.21,24.75,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),3/8,15,15,8,7,45,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_time_cycle:4;D_room_to_run:3
413,DIFFNKG,Diffusion Engineers Limited,NSE,Industrials,,40.96,380.25,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),20,9,5,11,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
414,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,NSE,Healthcare,,42.2,844.0,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),22,7,7,9,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
415,PARAS,Paras Defence and Space Technologies Limited,NSE,Industrials,,81.49,1176.3,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,6/8 (75%),17,12,5,11,45,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
416,SUNFLAG,Sunflag Iron And Steel Company Limited,NSE,Basic Materials,,38.86,344.65,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,6/8 (75%),24,4,5,11,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;B_fvg:4;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
417,VIYASH,Viyash Scientific Limited,NSE,Healthcare,,34.71,268.65,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),17,17,5,5,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5
418,NEULANDLAB,Neuland Laboratories Limited,NSE,Healthcare,,35.73,18434.0,NEUTRAL,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,14,5,5,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;C_vdu:5;D_above_1x1:5
419,PPL,Prakash Pipes Limited,NSE,Industrials,,28.1,255.9,NEUTRAL,No VCP,forming / still basing,Equilibrium,bullish (HH/HL),4/8 (50%),13,12,8,11,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_adx_20_28:4;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
420,544001,Sunita Tools Ltd,BSE,,,32.55,867.45,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),5/8,12,17,3,12,44,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
421,SUYOG,Suyog Telematics Limited,NSE,Communication Services,,51.45,849.85,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),21,15,3,5,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
422,526873,Rajasthan Securities Ltd,BSE,,,43.82,54.45,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),21,12,0,11,44,EXCLUDE,A_rsi_45_65:5;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
423,LUXIND,Lux Industries Limited,NSE,Consumer Cyclical,,40.96,1278.2,MILD BULLISH,No VCP,AT PIVOT (actionable),Equilibrium,bullish (HH/HL),4/8 (50%),14,7,12,11,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
424,IPCALAB,IPCA Laboratories Limited,NSE,Healthcare,,27.93,1900.6,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),16,12,7,9,44,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
425,SPLPETRO,Supreme Petrochem Limited,NSE,Basic Materials,,31.35,693.9,BEARISH,No VCP,forming / still basing,Premium,ranging,4/8 (50%),15,11,8,10,44,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
426,SHANKARA,Shankara Building Products Limited,NSE,Consumer Cyclical,,32.81,139.65,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),1/8,20,14,7,3,44,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;C_3rd_leg:7;D_room_to_run:3
427,CNL,Creative Newtech Limited,NSE,Technology,,32.1,916.55,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),19,17,3,5,44,EXCLUDE,A_stoch_cross_oversold:3;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
428,WELENT,Welspun Enterprises Limited,NSE,Industrials,,28.75,626.3,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),17,22,0,5,44,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5
429,NIBE,NIBE Limited,NSE,Industrials,,39.08,1505.4,MILD BEARISH,No VCP,forming / still basing,Premium,bearish (LH/LL),6/8 (75%),16,12,5,11,44,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
430,NETWEB,Netweb Technologies India Limited,NSE,Technology,,31.21,4244.3,MILD BEARISH,No VCP,AT PIVOT (actionable),Premium,ranging,6/8 (75%),12,14,12,6,44,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;C_3rd_leg:7;C_vdu:5;D_octave_key:3;D_room_to_run:3
431,WABAG,VA Tech Wabag Limited,NSE,Industrials,,77.16,1991.1,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,12,3,9,44,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
432,SCANSTL,Scan Steels Limited,NSE,,,42.69,48.3,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),15,17,3,9,44,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
433,SANGINITA,Sanginita Chemicals Limited,NSE,Basic Materials,,392.5,55.85,BULLISH,Moderate VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),21,12,5,5,43,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5
434,SANGAMIND,Sangam (India) Limited,NSE,Consumer Cyclical,,42.89,636.95,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),21,17,0,5,43,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5
435,GVPIL,GE Power India Limited,NSE,Industrials,,178.37,792.95,NEUTRAL,No VCP,forming / still basing,Premium,ranging,6/8 (75%),19,4,5,15,43,EXCLUDE,A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;B_fvg:4;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
436,POWERINDIA,Hitachi Energy India Limited,NSE,Industrials,,92.19,32075.0,MILD BEARISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),12,4,12,15,43,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;B_fvg:4;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
437,SASKEN,Sasken Technologies Limited,NSE,Technology,,45.64,1886.2,MILD BEARISH,No VCP,forming / still basing,Equilibrium,bearish (LH/LL),5/8,19,7,5,12,43,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
438,THERMAX,Thermax Limited,NSE,Industrials,,59.15,4662.0,MILD BEARISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),24,7,7,5,43,EXCLUDE,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;D_above_1x1:5
439,TIRUPATIFL,Tirupati Forge Limited,NSE,Industrials,,100.44,68.17,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),10,12,12,9,43,EXCLUDE,A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
440,MWL,Mangalam Worldwide Limited,NSE,Basic Materials,,33.63,37.15,MILD BEARISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),26,10,7,0,43,EXCLUDE,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7
441,UNIVASTU,Univastu India Limited,NSE,Industrials,,76.43,116.23,BULLISH,No VCP,extended past pivot,Premium,ranging,8/8 (52w high),21,17,0,5,43,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5
442,GSPCROP,GSP Crop Science Limited,NSE,Basic Materials,,38.16,492.2,BULLISH,No VCP,extended past pivot,Premium,bearish (LH/LL),8/8 (52w high),20,15,3,5,43,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
443,CEMPRO,Cemindia Projects Limited,NSE,Industrials,,151.42,1615.0,BULLISH,Moderate VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),13,12,13,5,43,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5
444,SCHNEIDER,Schneider Electric Infrastructure Limited,NSE,Industrials,,107.28,1278.5,MILD BEARISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),16,7,5,15,43,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
445,MUNJALAU,Munjal Auto Industries Limited,NSE,Consumer Cyclical,,45.08,103.79,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),18,12,8,5,43,EXCLUDE,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
446,NRBBEARING,NRB Bearing Limited,NSE,Consumer Cyclical,,67.48,407.4,MILD BEARISH,No VCP,forming / still basing,Premium,bearish (LH/LL),7/8 (exhaustion),16,17,5,5,43,EXCLUDE,A_bb_squeeze:4;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5
447,TBZ,Tribhovandas Bhimji Zaveri Limited,NSE,Consumer Cyclical,,53.27,258.13,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),16,22,0,5,43,EXCLUDE,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5
448,MOREPENLAB,Morepen Laboratories Limited,NSE,Healthcare,,65.82,58.9,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),21,17,0,5,43,EXCLUDE,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5
449,KERNEX,Kernex Microsystems (India) Limited,NSE,Technology,,68.11,2039.3,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),14,9,8,11,42,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;B_bull_bos:5;B_fvg:4;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
450,SPAL,S. P. Apparels Limited,NSE,Consumer Cyclical,,60.99,992.2,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),15,7,5,15,42,EXCLUDE,A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
451,DATAPATTNS,Data Patterns (India) Limited,NSE,Industrials,,78.15,4085.8,BEARISH,No VCP,forming / still basing,Premium,ranging,6/8 (75%),12,10,5,15,42,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
452,DSSL,Dynacons Systems & Solutions Limited,NSE,Technology,,25.46,1214.8,BEARISH,No VCP,forming / still basing,Discount,bullish (HH/HL),4/8 (50%),11,12,8,11,42,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_adx_20_28:4;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
453,SOUTHWEST,South West Pinnacle Exploration Limited,NSE,Energy,,27.75,226.74,NEUTRAL,No VCP,AT PIVOT (actionable),Equilibrium,bearish (LH/LL),6/8 (75%),17,0,15,10,42,EXCLUDE,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_macd_bull:5;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
454,MCLEODRUSS,Mcleod Russel India Limited,NSE,Consumer Defensive,,32.51,55.64,MILD BEARISH,No VCP,AT PIVOT (actionable),Equilibrium,bearish (LH/LL),5/8,15,4,15,8,42,EXCLUDE,A_bb_squeeze:4;A_mfi_rising_low:3;A_macd_bull:5;A_atr_expanding:3;B_fvg:4;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_room_to_run:3
455,STLTECH,Sterlite Technologies Limited,NSE,Technology,,461.99,520.4,MILD BEARISH,No VCP,forming / still basing,Premium,ranging,6/8 (75%),15,7,5,15,42,EXCLUDE,A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
456,UTLSOLAR,Fujiyama Power Systems Limited,NSE,Technology,,73.77,365.15,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),16,17,0,9,42,EXCLUDE,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5;D_time_cycle:4
