symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker
PREMIERENE,Premier Energies Limited,NSE,787.75,2026-01-05,1046.8,32.88,47481.06,Large,,1927491.0,1698915925.0,False,INE0BS701011,PREMIERENE.NS
CEIGALL,Ceigall India Limited,NSE,274.15,2026-01-05,364.1,32.81,6336.7,Mid,,464128.0,148654760.0,False,INE0AG901020,CEIGALL.NS
GROWW,Billionbrains Garage Ventures Limited,NSE,155.53,2026-01-05,206.5,32.77,129549.77,Large,,51948965.0,9292489781.0,False,INE0HOQ01053,GROWW.NS
CARBORUNIV,Carborundum Universal Limited,NSE,858.6,2026-01-05,1139.6,32.73,21716.26,Large,,286444.0,272054570.0,False,INE120A01034,CARBORUNIV.NS
STOVEKRAFT,Stove Kraft Limited,NSE,589.35,2026-01-05,781.85,32.66,2583.53,Small,,239619.0,131736165.0,False,INE00IN01015,STOVEKRAFT.NS
SOMANYCERA,Somany Ceramics Limited,NSE,405.65,2026-01-05,537.2,32.43,2203.82,Small,,102601.0,48044967.0,False,INE355A01028,SOMANYCERA.NS
SANGHVIMOV,Sanghvi Movers Limited,NSE,350.0,2026-01-05,463.25,32.36,4014.1,Small,,374245.0,125298890.0,False,INE989A01032,SANGHVIMOV.NS
SKIPPER,Skipper Limited,NSE,435.0,2026-01-05,574.95,32.17,6491.44,Mid,,573258.0,266389518.0,False,INE439E01022,SKIPPER.NS
GRINDWELL,Grindwell Norton Limited,NSE,1581.5,2026-01-05,2088.5,32.06,23007.62,Large,,63612.0,109427496.0,False,INE536A01023,GRINDWELL.NS
TEJASNET,Tejas Networks Limited,NSE,449.55,2026-01-05,593.6,32.04,10566.12,Mid,,8522778.0,4046525595.0,False,INE010J01012,TEJASNET.NS
ANANDRATHI,Anand Rathi Wealth Limited,NSE,1561.8,2026-01-05,2061.7,32.01,34219.44,Large,,560762.0,927340524.0,False,INE463V01026,ANANDRATHI.NS
PIXTRANS,Pix Transmissions Limited,NSE,1372.5,2026-01-05,1810.6,31.92,2474.06,Small,,44160.0,75380200.0,False,INE751B01018,PIXTRANS.NS
SCI,Shipping Corporation Of India Limited,NSE,228.98,2026-01-05,301.75,31.78,14057.81,Mid,,7145968.0,2034424759.0,False,INE109A01011,SCI.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,1252.2,2026-01-05,1649.3,31.71,20841.23,Large,,432927.0,523435871.0,False,INE501A01019,DEEPAKFERT.NS
SUNFLAG,Sunflag Iron And Steel Company Limited,NSE,268.4,2026-01-05,353.35,31.65,6342.82,Mid,,431041.0,146455712.0,False,INE947A01014,SUNFLAG.NS
TPLPLASTEH,TPL Plastech Limited,NSE,66.21,2026-01-05,87.16,31.64,678.16,Small,,132961.0,9106391.0,False,INE413G01022,TPLPLASTEH.NS
SAILIFE,Sai Life Sciences Limited,NSE,955.25,2026-01-05,1257.3,31.62,26663.08,Large,,553303.0,559937148.0,False,INE570L01029,SAILIFE.NS
RSWM,RSWM Limited,NSE,148.01,2026-01-05,194.76,31.59,916.36,Small,,91737.0,16510451.0,False,INE611A01016,RSWM.NS
SUPRIYA,Supriya Lifescience Limited,NSE,744.75,2026-01-05,978.9,31.44,7884.1,Mid,,293619.0,245526880.0,False,INE07RO01027,SUPRIYA.NS
530249,Bridge Securities Ltd,BSE,12.47,2026-01-05,16.39,31.44,63.72,Micro,,70120.0,934095.0,False,INE958C01025,530249.BO
UNIPARTS,Uniparts India Limited,NSE,497.1,2026-01-05,652.45,31.25,2943.11,Small,,137978.0,75977247.0,False,INE244O01017,UNIPARTS.NS
CARYSIL,CARYSIL LIMITED,NSE,885.55,2026-01-05,1162.1,31.23,3302.9,Small,,115188.0,113686559.0,False,INE482D01024,CARYSIL.NS
KPRMILL,K.P.R. Mill Limited,NSE,903.05,2026-01-05,1184.5,31.17,40542.56,Large,,594819.0,599990341.0,False,INE930H01031,KPRMILL.NS
SAREGAMA,Saregama India Limited,NSE,370.4,2026-01-05,485.75,31.14,9363.79,Mid,,1816201.0,733407929.0,False,INE979A01025,SAREGAMA.NS
SALSTEEL,S.A.L. Steel Limited,NSE,43.12,2026-01-05,56.5,31.03,620.96,Small,,132041.0,6454935.0,False,INE658G01014,SALSTEEL.NS
KTKBANK,The Karnataka Bank Limited,NSE,201.25,2026-01-05,263.4,30.88,9952.42,Mid,,4505138.0,991127387.0,False,INE614B01018,KTKBANK.NS
AARTIIND,Aarti Industries Limited,NSE,372.7,2026-01-05,487.7,30.86,17684.74,Mid,,1123797.0,497253063.0,False,INE769A01020,AARTIIND.NS
KOPRAN,Kopran Limited,NSE,147.74,2026-01-05,193.31,30.84,939.4,Small,,502886.0,81247870.0,False,INE082A01010,KOPRAN.NS
INNOVACAP,Innova Captab Limited,NSE,733.2,2026-01-05,957.85,30.64,5473.56,Mid,,76324.0,57384117.0,False,INE0DUT01020,INNOVACAP.NS
