symbol,name,exchange,yahoo_ticker,isin,price_180d_ago,past_date_used,price_today,return_pct,avg_daily_volume,avg_daily_value_rs,bars,status
539552,F Mec International Financial Services Ltd,BSE,539552.BO,INE108T01021,19.43,2025-12-05,14.79,-23.88,100674.0,1611191.0,155.0,ok
539599,Kotia Enterprises Ltd,BSE,539599.BO,INE079C01012,31.54,2025-12-05,24.25,-23.11,237.0,6322.0,154.0,ok
539594,Mishtann Foods Ltd,BSE,539594.BO,INE094S01041,5.0,2025-12-05,4.09,-18.2,1502876.0,6871351.0,152.0,ok
539596,Delta Industrial Resources Ltd,BSE,539596.BO,INE681Q01015,14.5,2025-12-05,13.0,-10.34,6813.0,93332.0,153.0,ok
539607,Blue Cloud Softech Solutions Ltd,BSE,539607.BO,INE373T01047,20.96,2025-12-05,18.0,-14.12,2412156.0,58577259.0,152.0,ok
539598,Credent Global Finance Ltd,BSE,539598.BO,INE727C01024,30.92,2025-12-05,28.52,-7.76,52384.0,1561975.0,152.0,ok
539620,Kanoria Energy & Infrastructure Ltd,BSE,539620.BO,INE534E01020,15.77,2025-12-05,16.26,3.11,6731.0,110368.0,152.0,ok
539661,Ace Men Engg Works Ltd,BSE,539661.BO,INE023R01018,96.95,2025-12-05,95.91,-1.07,1343.0,128493.0,152.0,ok
539662,BFL Asset Finvest Ltd,BSE,539662.BO,INE948Q01018,11.19,2025-12-05,8.05,-28.06,11778.0,122539.0,152.0,ok
539884,Darshan Orna Ltd,BSE,539884.BO,INE671T01028,3.08,2025-12-05,2.4,-22.08,167278.0,485099.0,152.0,ok
539546,Agribio Spirits Ltd,BSE,539546.BO,INE679E01015,224.4,2025-12-05,293.55,30.82,13900.0,3370341.0,152.0,ok
539659,Vikram Kamats Hospitality Ltd,BSE,539659.BO,INE564S01019,57.09,2025-12-05,44.14,-22.68,9996.0,495335.0,152.0,ok
