symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks,vcp_quality,vcp_status,struct,pd_zone,range_pos,near_demand,bull_bos,ob_support,gann_above_1x1,bearish_candle,last_candles,atr,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,gann_T2,target2,rr,qty_per_10L,sec_bonus,phase7_score
GENUSPOWER,Genus Power Infrastructures Limited,NSE,GENUSPOWER.NS,317.05,50.1,15.4,0.217,2.34,-19.53,94.86,4.12,6,True,010101111,No VCP,AT PIVOT (actionable),ranging,Premium,72.5,False,True,False,True,False,Morning Star,13.05,358.95,335.46,282.1,6.54,378.15,397.84,448.69,3.82,425,5,11
BHEL,Bharat Heavy Electricals Limited,NSE,BHEL.NS,422.0,59.1,22.2,3.302,3.75,-5.49,600.69,3.82,9,False,111111111,No VCP,BROKEN OUT (fresh),ranging,Premium,88.2,False,True,True,True,True,Bearish Engulfing,16.14,441.0,411.96,371.8,6.59,462.25,484.0,551.25,3.8,344,5,11
AETHER,Aether Industries Limited,NSE,AETHER.NS,1475.3,66.6,47.4,4.887,0.53,-4.11,53.7,3.85,7,False,110011111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,90.2,True,True,True,True,True,Bearish Engulfing,56.82,1538.5,1436.22,1165.0,6.65,1577.97,1617.95,1923.12,3.76,97,7,11
GANDHAR,Gandhar Oil Refinery (India) Limited,NSE,GANDHAR.NS,207.93,72.9,61.6,1.347,1.18,-4.62,18.77,3.92,7,False,110011111,Moderate VCP,extended past pivot,ranging,Premium,90.2,False,True,True,True,False,none,8.15,218.0,203.33,172.32,6.73,233.01,248.53,272.5,3.72,681,4,11
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE,BUTTERFLY.NS,775.95,68.6,44.5,8.26,1.0,-5.81,13.37,3.82,7,True,110011111,Moderate VCP,AT PIVOT (actionable),ranging,Premium,93.9,False,True,True,True,True,Inside Bar;Morning Star;NR7;Outside Bar;Tweezer Top,29.63,788.95,735.61,637.25,6.76,817.29,846.13,986.19,3.7,187,7,11
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,NSE,BLUESTONE.NS,599.05,63.9,39.8,2.857,1.89,-24.46,25.37,4.01,8,True,110111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,82.9,False,True,True,True,True,Bearish Engulfing;NR4,24.02,640.25,597.01,511.0,6.75,665.8,691.86,800.31,3.7,231,6,11
ARMANFIN,Arman Financial Services Limited,NSE,ARMANFIN.NS,1958.2,70.8,29.8,27.163,3.62,-5.36,8.94,3.98,9,False,111111111,Moderate VCP,extended past pivot,ranging,Premium,85.6,True,True,True,True,True,Bearish Harami;Bullish Pin Bar;Doji;Hanging Man;NR4,77.95,2069.2,1928.89,1603.8,6.78,2114.94,2161.18,2586.5,3.69,71,5,11
SWANDEF,Swan Defence and Heavy Industries Limited,NSE,SWANDEF.NS,2229.6,55.9,23.2,-12.698,2.25,-10.42,3.55,4.15,8,False,101111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,73.6,False,True,False,False,False,NR7;Tweezer Bottom,92.43,2420.0,2253.62,2054.0,6.88,2469.44,2519.39,3025.0,3.64,60,3,11
LXCHEM,Laxmi Organic Industries Limited,NSE,LXCHEM.NS,171.76,66.0,21.8,1.532,1.33,-28.73,31.1,3.88,8,True,111011111,No VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,93.8,False,True,True,True,True,Bullish Pin Bar;Hanging Man;NR4;Outside Bar;Three White Sold,6.66,173.4,161.42,149.75,6.91,186.82,200.74,216.75,3.62,834,6,11
QUESS,Quess Corp Limited,NSE,QUESS.NS,290.95,66.8,58.0,-0.929,0.39,-9.33,23.1,4.08,6,False,100011111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,87.9,False,True,True,True,False,Inside Bar;NR7,11.87,308.1,286.74,240.59,6.93,325.9,344.21,385.12,3.61,468,5,11
SENCO,Senco Gold Limited,NSE,SENCO.NS,364.55,60.9,27.5,4.015,4.35,-9.95,44.58,4.15,9,True,111111111,No VCP,forming / still basing,bearish (LH/LL),Premium,77.4,True,True,True,True,True,Bullish Pin Bar;Dragonfly Doji;Hanging Man;NR7;Three Black C,15.11,390.4,363.2,319.1,6.97,410.41,430.92,488.0,3.59,367,5,11
TATVA,Tatva Chintan Pharma Chem Limited,NSE,TATVA.NS,1428.1,69.9,29.6,22.307,2.87,-11.3,6.51,3.88,9,True,111111111,No VCP,extended past pivot,bullish (HH/HL),Premium,92.3,True,True,True,True,True,Bullish Harami;Inside Bar;Long-legged Doji;NR7;Tweezer Top,55.39,1428.1,1328.39,1167.9,6.98,1466.14,1504.68,1785.12,3.58,100,5,11
JASH,Jash Engineering Limited,NSE,JASH.NS,520.45,55.7,19.4,-2.284,1.35,-16.45,11.49,4.28,7,True,101011111,No VCP,forming / still basing,ranging,Premium,78.7,True,True,False,True,False,none,22.28,572.85,532.74,475.05,7.0,597.03,621.72,716.06,3.57,249,4,11
XPROINDIA,Xpro India Limited,NSE,XPROINDIA.NS,1397.3,55.7,45.1,-14.171,0.69,-11.27,10.12,4.55,6,False,100011111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,77.4,False,True,True,True,False,Bullish Pin Bar;Dragonfly Doji;Hammer;Inside Bar;NR7;Tweezer,63.58,1574.8,1460.35,1321.2,7.27,1614.73,1655.17,1968.5,3.44,87,5,11
ADVANCE,Advance Agrolife Limited,NSE,ADVANCE.NS,113.66,57.0,33.3,0.214,2.38,-26.19,2.32,4.39,7,False,110111101,No VCP,AT PIVOT (actionable),bullish (HH/HL),Equilibrium,49.8,False,True,False,True,False,Inside Bar;NR7,5.0,119.03,110.04,102.81,7.55,130.19,141.85,148.79,3.31,1112,4,11
CARYSIL,CARYSIL LIMITED,NSE,CARYSIL.NS,1170.4,51.7,25.7,-1.983,6.59,-8.63,21.16,4.63,7,True,001111111,No VCP,AT PIVOT (actionable),ranging,Premium,79.6,True,True,True,True,True,Bearish Engulfing;Bullish Engulfing;Inside Bar;Morning Star;,54.14,1280.9,1183.45,1083.1,7.61,1316.94,1353.48,1601.12,3.29,102,7,11
