symbol,bars,close,rsi,rsi_state,rsi_trend,rsi_div,stoch_k,stoch_d,stoch_cross,stoch_state,stoch_div,bb_pos,bb_width_pct,bb_squeeze,bb_state,ichi_price_cloud,ichi_tk,ichi_chikou,ichi_twist_ahead,cci,cci_state,williams_r,wr_state,obv_trend,obv_div,mfi,mfi_state,macd,macd_signal,macd_hist,macd_pos,macd_hist_state,macd_cross,macd_zero,ema20,ema50,ema200,ema_alignment,ema200_slope,px_vs_e20,px_vs_e50,px_vs_e200,adx,adx_regime,di,adx_dir,supertrend,supertrend_flip,atr,atr_pct,atr_state,vwap20,px_vs_vwap,vwap_dist_pct,pivot_P,pivot_R1,pivot_S1,wpivot_R1,wpivot_S1,px_vs_wpivot
NEOGEN,352,2175.6,61.3,neutral,rising,none,79.4,87.8,bear,neutral,bearish,above_mid,24.81,False,expanding,above,bullish,above,none,163.6,strong_up,-43.7,neutral,rising,none,84.8,overbought,88.617,66.526,22.091,above_signal,contracting_pos,none,above,2063.29,1916.23,1616.74,bullish,rising,above,above,above,33.1,trending,+DI>-DI,rising,green_buy,none,102.4,4.71,expanding,2080.38,above,4.58,2219.83,2290.67,2104.77,2154.07,1968.07,above_R1
MBAPL,352,136.2,66.6,neutral,rising,bearish,86.3,79.0,bull,overbought,none,above_mid,26.44,False,expanding,above,bullish,above,none,163.0,strong_up,-2.5,overbought,rising,none,72.7,neutral,5.379,4.161,1.218,above_signal,expanding_pos,none,above,122.87,115.62,98.44,bullish,rising,above,above,above,20.6,transitional,+DI>-DI,falling,green_buy,none,6.72,4.93,expanding,121.25,above,12.33,135.13,138.02,133.32,139.85,116.2,mid_range
SATIN,351,255.07,54.8,neutral,falling,bearish,72.6,79.4,bear,neutral,bearish,above_mid,18.99,True,contracting,above,bullish,above,none,39.3,above0,-43.4,neutral,rising,none,73.9,neutral,8.64,8.979,-0.338,below_signal,expanding_neg,bear,above,251.81,233.38,187.44,bullish,rising,above,above,above,38.6,trending,+DI>-DI,falling,green_buy,none,11.73,4.6,expanding,254.63,above,0.17,257.32,263.45,248.94,267.24,246.09,mid_range
SBCL,351,737.35,51.8,neutral,flat,none,29.8,31.1,bear,neutral,none,below_mid,11.43,True,contracting,above,bearish,above,none,-47.2,below0,-60.9,neutral,falling,none,40.0,neutral,3.837,8.831,-4.993,below_signal,contracting_neg,none,above,734.02,699.41,574.79,bullish,rising,above,above,above,19.1,choppy,-DI>+DI,falling,green_buy,none,33.95,4.6,contracting,751.77,below,-1.92,729.85,747.3,719.9,811.35,685.4,mid_range
HONASA,351,466.95,67.2,neutral,falling,bearish,65.6,73.4,none,neutral,bearish,above_mid,19.53,False,contracting,above,bullish,above,none,31.7,above0,-47.6,neutral,rising,bullish,76.1,neutral,16.978,18.446,-1.468,below_signal,expanding_neg,bear,above,454.95,421.11,343.9,bullish,rising,above,above,above,45.0,trending,+DI>-DI,rising,green_buy,none,14.62,3.13,contracting,445.08,above,4.91,466.87,472.58,461.23,481.0,461.0,mid_range
AEQUS,151,228.38,49.8,neutral,falling,none,20.3,30.3,none,neutral,bearish,below_mid,14.21,True,contracting,above,bullish,above,none,-24.9,below0,-97.1,oversold,rising,none,78.7,neutral,8.64,11.328,-2.688,below_signal,expanding_neg,bear,above,233.44,214.54,,n/a (short),n/a,below,above,n/a,44.3,trending,+DI>-DI,falling,green_buy,none,13.02,5.7,contracting,245.36,below,-6.92,230.11,233.2,225.28,271.88,228.19,mid_range
IZMO,351,1124.0,67.5,neutral,rising,none,83.5,83.6,bear,overbought,none,above_upper,19.63,True,expanding,above,bearish,above,none,139.6,strong_up,-19.5,overbought,rising,none,83.8,overbought,44.55,38.361,6.19,above_signal,expanding_pos,bull,above,1021.22,936.1,786.55,bullish,rising,above,above,above,31.2,trending,+DI>-DI,rising,green_buy,none,53.88,4.79,expanding,1047.29,above,7.32,1137.23,1162.17,1099.07,1060.03,935.73,above_R2
KERNEX,352,2039.3,47.9,neutral,falling,none,27.5,38.4,bear,neutral,none,below_mid,24.63,True,contracting,above,bullish,above,none,-51.9,below0,-88.6,oversold,falling,none,65.8,neutral,68.017,104.568,-36.551,below_signal,expanding_neg,none,above,2118.14,1906.68,1441.76,bullish,rising,below,above,above,29.3,trending,-DI>+DI,falling,red_sell,none,110.71,5.43,contracting,2172.66,below,-6.14,2054.53,2098.07,1995.77,2406.0,1948.0,mid_range
THANGAMAYL,352,6436.0,59.8,neutral,falling,bearish,54.2,56.4,bear,neutral,none,above_mid,27.48,True,contracting,above,bullish,above,none,27.3,above0,-51.5,neutral,rising,none,73.2,neutral,359.74,400.512,-40.772,below_signal,expanding_neg,bear,above,6147.51,5452.1,4016.92,bullish,rising,above,above,above,54.8,trending,+DI>-DI,falling,green_buy,none,354.39,5.51,expanding,6290.75,above,2.31,6358.33,6577.67,6216.67,7092.0,6062.0,mid_range
ADANIGREEN,352,1513.9,50.3,neutral,flat,none,40.2,56.0,bear,neutral,bearish,below_mid,6.96,True,contracting,above,bullish,above,none,-15.2,below0,-78.2,neutral,flat,none,52.6,neutral,21.791,26.728,-4.937,below_signal,expanding_neg,none,above,1525.45,1448.91,1193.01,bullish,rising,below,above,above,29.5,trending,+DI>-DI,falling,green_buy,none,52.98,3.5,expanding,1533.81,below,-1.3,1526.4,1545.5,1494.8,1590.07,1482.17,mid_range
WANBURY,351,332.2,68.4,neutral,rising,none,79.1,80.8,bear,neutral,none,above_mid,32.34,False,expanding,above,bullish,above,bull,136.5,strong_up,-29.7,neutral,rising,bearish,86.5,overbought,16.293,10.203,6.089,above_signal,contracting_pos,none,above,300.2,282.19,259.16,bullish,rising,above,above,above,30.9,trending,+DI>-DI,rising,green_buy,buy_flip,17.67,5.32,expanding,322.74,above,2.93,333.28,341.82,323.67,310.97,276.87,above_R2
NRBBEARING,351,407.4,44.9,neutral,falling,bearish,25.3,29.7,none,neutral,bearish,below_lower,6.78,True,expanding,above,bearish,below,none,-106.1,strong_down,-86.5,oversold,falling,bullish,60.7,neutral,4.705,9.166,-4.461,below_signal,expanding_neg,none,above,420.82,395.08,321.9,bullish,rising,below,above,above,27.4,trending,-DI>+DI,falling,green_buy,none,18.14,4.45,contracting,432.82,below,-5.87,411.25,424.5,394.15,442.5,416.0,below_S1
GVT&D,352,4387.4,39.9,neutral,rising,none,31.1,31.8,bear,neutral,none,below_mid,26.25,False,contracting,below,bearish,below,bear,-80.3,below0,-91.1,oversold,falling,none,28.7,neutral,-105.814,-72.985,-32.829,below_signal,expanding_neg,none,below,4690.16,4681.51,3865.14,bullish,rising,below,below,above,20.7,transitional,-DI>+DI,falling,red_sell,none,224.97,5.13,contracting,4752.36,below,-7.68,4439.13,4536.27,4290.27,4830.6,4431.8,below_S1
543920,350,917.6,66.4,neutral,flat,bearish,96.8,66.0,bull,overbought,none,above_mid,13.39,True,contracting,above,bullish,above,none,56.2,above0,-1.1,overbought,rising,bullish,74.5,neutral,28.356,26.674,1.682,above_signal,expanding_pos,bull,above,853.2,801.93,682.3,bullish,rising,above,above,above,29.8,trending,+DI>-DI,falling,green_buy,none,32.04,3.49,expanding,875.45,above,4.81,915.1,921.2,911.5,886.17,792.72,above_R1
SGFIN,237,631.15,53.0,neutral,falling,none,42.5,35.5,bull,neutral,none,above_mid,20.91,False,contracting,above,bullish,above,none,2.1,above0,-60.1,neutral,falling,none,59.1,neutral,12.014,16.144,-4.13,below_signal,expanding_neg,bear,above,627.9,595.95,492.77,bullish,rising,above,above,above,33.4,trending,+DI>-DI,falling,green_buy,none,35.89,5.69,expanding,637.59,below,-1.01,633.12,641.03,623.23,678.23,614.33,mid_range
EMMVEE,167,345.05,54.3,neutral,rising,none,52.7,41.5,none,neutral,none,above_mid,13.32,True,expanding,above,bullish,above,none,90.4,above0,-57.1,neutral,rising,bullish,67.6,neutral,6.702,7.588,-0.886,below_signal,expanding_neg,none,above,339.22,318.8,,n/a (short),n/a,above,above,n/a,25.6,trending,+DI>-DI,falling,green_buy,none,15.9,4.61,expanding,348.12,below,-0.88,351.65,361.2,335.5,353.77,318.92,mid_range
BHEL,352,422.0,59.1,neutral,rising,none,82.5,79.6,none,overbought,none,above_mid,15.04,True,expanding,above,bullish,above,none,144.1,strong_up,-32.8,neutral,rising,bullish,71.4,neutral,6.035,2.733,3.302,above_signal,expanding_pos,bull,above,403.68,389.24,321.6,bullish,rising,above,above,above,22.2,transitional,+DI>-DI,rising,green_buy,buy_flip,16.14,3.82,expanding,408.54,above,3.29,429.6,438.9,412.7,403.43,379.43,above_R2
524520,350,134.65,60.9,neutral,falling,none,41.2,44.0,none,neutral,none,above_mid,19.94,True,contracting,above,bullish,above,none,31.2,above0,-54.6,neutral,falling,none,57.6,neutral,5.029,5.889,-0.86,below_signal,contracting_neg,none,above,129.67,118.39,93.88,bullish,rising,above,above,above,34.9,trending,+DI>-DI,falling,green_buy,none,5.98,4.44,contracting,131.56,above,2.35,135.02,137.58,132.08,145.53,124.93,mid_range
JINDALPOLY,352,659.05,48.0,neutral,rising,none,46.6,49.2,none,neutral,none,above_mid,17.16,True,contracting,below,bearish,below,bear,19.7,above0,-62.5,neutral,rising,none,58.2,neutral,-0.517,-5.433,4.917,above_signal,contracting_pos,none,below,665.38,675.23,647.61,mixed,rising,below,below,above,22.0,transitional,+DI>-DI,rising,green_buy,none,28.71,4.36,expanding,657.78,above,0.19,664.58,674.92,648.72,754.03,646.83,mid_range
UNIVCABLES,352,1166.7,49.1,neutral,rising,none,55.6,56.7,bear,neutral,none,below_mid,21.57,True,expanding,above,bearish,above,none,-33.8,below0,-55.3,neutral,rising,none,50.8,neutral,1.08,4.74,-3.659,below_signal,expanding_neg,none,above,1178.99,1128.2,912.07,bullish,rising,below,above,above,18.7,choppy,+DI>-DI,falling,green_buy,none,66.86,5.73,contracting,1230.68,below,-5.2,1173.27,1190.43,1149.53,1186.53,1075.53,mid_range
MOREPENLAB,352,58.9,56.8,neutral,falling,none,60.6,73.0,bear,neutral,none,above_mid,27.02,False,contracting,above,bullish,above,none,11.0,above0,-59.6,neutral,rising,none,73.6,neutral,3.095,3.49,-0.395,below_signal,expanding_neg,bear,above,58.09,52.59,47.07,bullish,rising,above,above,above,52.5,trending,+DI>-DI,rising,green_buy,none,2.92,4.96,expanding,58.8,above,0.17,59.19,60.71,57.37,63.41,58.73,mid_range
KABRAEXTRU,351,330.7,78.5,overbought,rising,none,85.8,84.1,bull,overbought,none,above_mid,43.08,False,expanding,above,bullish,above,bull,112.2,strong_up,-15.6,overbought,rising,bearish,95.5,overbought,22.385,17.464,4.922,above_signal,contracting_pos,none,above,289.58,263.9,251.23,bullish,rising,above,above,above,48.5,trending,+DI>-DI,rising,green_buy,none,16.83,5.09,expanding,292.4,above,13.1,332.05,342.3,320.45,308.47,276.62,above_R2
AVADHSUGAR,351,533.9,65.2,neutral,falling,bearish,83.0,86.7,bear,overbought,bearish,above_mid,28.14,False,expanding,above,bullish,above,bull,86.5,above0,-18.1,overbought,rising,none,76.6,neutral,19.353,15.698,3.655,above_signal,contracting_pos,none,above,506.54,484.01,443.82,bullish,rising,above,above,above,37.5,trending,+DI>-DI,rising,green_buy,none,19.61,3.67,expanding,508.04,above,5.09,536.67,543.23,527.33,549.3,498.3,mid_range
GNA,352,567.05,74.8,overbought,rising,none,85.3,88.8,bear,overbought,none,above_mid,43.58,False,expanding,above,bullish,above,bull,105.0,strong_up,-20.2,neutral,rising,none,76.2,neutral,42.26,30.949,11.31,above_signal,contracting_pos,none,above,487.65,442.85,389.7,bullish,rising,above,above,above,51.0,trending,+DI>-DI,rising,green_buy,none,30.22,5.33,expanding,521.66,above,8.7,563.55,602.45,528.15,486.18,457.33,above_R2
PRECWIRE,352,361.65,35.6,neutral,flat,none,18.8,19.6,bear,oversold,none,below_mid,20.08,True,expanding,below,bearish,below,bear,-136.7,strong_down,-90.7,oversold,rising,bullish,51.3,neutral,-9.698,-6.903,-2.795,below_signal,expanding_neg,none,below,391.01,393.37,320.71,mixed,rising,below,below,above,14.5,choppy,-DI>+DI,rising,red_sell,none,16.4,4.53,contracting,402.85,below,-10.23,365.92,375.73,351.83,403.93,368.68,below_S1
STYL,199,399.95,86.4,overbought,rising,none,93.2,93.1,none,overbought,bearish,above_mid,39.52,False,expanding,above,bullish,above,none,96.8,above0,-7.2,overbought,rising,none,87.7,overbought,29.432,23.628,5.804,above_signal,contracting_pos,none,above,348.87,311.27,,n/a (short),n/a,above,above,n/a,55.7,trending,+DI>-DI,rising,green_buy,none,16.99,4.25,expanding,352.78,above,13.37,396.82,403.63,393.13,379.9,330.7,above_R1
CENTUM,350,3711.4,57.6,neutral,rising,none,53.1,49.3,bull,neutral,none,above_mid,7.72,True,contracting,above,bearish,above,none,38.2,above0,-43.6,neutral,rising,none,53.4,neutral,63.892,71.673,-7.781,below_signal,contracting_neg,none,above,3622.94,3443.76,2875.39,bullish,rising,above,above,above,28.3,trending,+DI>-DI,rising,green_buy,none,144.59,3.9,contracting,3658.87,above,1.44,3699.27,3746.53,3664.13,3746.07,3498.07,mid_range
SOTL,352,580.25,56.3,neutral,falling,none,62.2,63.7,bear,neutral,none,above_mid,22.87,True,contracting,above,bullish,above,none,33.8,above0,-42.4,neutral,rising,none,72.1,neutral,18.93,19.229,-0.298,below_signal,expanding_neg,bear,above,564.21,519.22,432.38,bullish,rising,above,above,above,37.4,trending,+DI>-DI,falling,green_buy,none,32.77,5.65,contracting,574.78,above,0.95,577.0,587.75,569.5,652.27,549.52,mid_range
KPL,62,2702.0,58.0,neutral,rising,none,66.3,63.1,none,neutral,none,above_mid,18.64,True,contracting,n/a,n/a,n/a,n/a,61.6,above0,-49.7,neutral,rising,none,62.3,neutral,106.149,113.997,-7.848,below_signal,expanding_neg,none,above,2602.38,2370.34,,n/a (short),n/a,above,above,n/a,36.0,trending,+DI>-DI,falling,green_buy,none,136.88,5.07,contracting,2645.29,above,2.14,2750.37,2811.53,2640.83,2710.5,2500.0,mid_range
531911,351,69.9,65.6,neutral,rising,bearish,78.9,74.4,bull,neutral,none,above_mid,15.88,True,expanding,above,bullish,above,none,142.8,strong_up,-13.9,overbought,rising,bearish,85.7,overbought,2.002,1.799,0.203,above_signal,expanding_pos,none,above,66.23,62.27,53.78,bullish,rising,above,above,above,34.4,trending,+DI>-DI,falling,green_buy,none,4.36,6.24,contracting,65.44,above,6.81,69.93,69.97,69.87,71.71,60.91,mid_range
TEJASNET,352,538.9,41.9,neutral,flat,none,15.6,17.3,bear,oversold,none,below_mid,23.24,True,expanding,inside,bearish,below,none,-81.0,below0,-90.1,oversold,rising,bullish,46.5,neutral,-5.146,2.924,-8.07,below_signal,contracting_neg,none,below,564.33,544.19,514.4,bullish,rising,below,below,above,23.2,transitional,+DI>-DI,falling,red_sell,none,23.52,4.37,contracting,591.0,below,-8.81,539.57,545.13,533.33,597.23,529.83,mid_range
INDNIPPON,351,1213.4,74.2,overbought,rising,none,83.8,84.8,bear,overbought,none,above_mid,40.6,False,expanding,above,bullish,above,none,114.9,strong_up,-11.1,overbought,rising,none,91.9,overbought,82.505,66.259,16.247,above_signal,contracting_pos,none,above,1075.46,968.61,851.35,bullish,rising,above,above,above,58.1,trending,+DI>-DI,rising,green_buy,none,50.27,4.14,expanding,1088.56,above,11.47,1217.83,1240.47,1190.77,1240.97,1039.07,mid_range
FILATEX,351,71.57,76.4,overbought,rising,bearish,87.2,82.8,bull,overbought,none,above_mid,45.7,False,expanding,above,bullish,above,none,176.3,strong_up,-17.5,overbought,rising,none,91.3,overbought,5.098,3.622,1.476,above_signal,expanding_pos,none,above,60.46,54.22,49.53,bullish,rising,above,above,above,48.6,trending,+DI>-DI,rising,green_buy,none,3.79,5.3,expanding,65.92,above,8.57,71.65,73.55,69.67,65.34,56.91,above_R2
GALAPREC,351,1182.0,59.7,neutral,falling,bearish,61.6,55.3,bull,neutral,none,above_mid,15.62,True,contracting,above,bullish,above,none,21.9,above0,-41.1,neutral,rising,bullish,80.0,neutral,51.359,58.53,-7.171,below_signal,expanding_neg,none,above,1135.17,1032.23,877.12,bullish,rising,above,above,above,48.2,trending,+DI>-DI,falling,green_buy,none,60.51,5.12,contracting,1158.6,above,2.02,1186.1,1218.0,1150.1,1256.8,1121.8,mid_range
CMPDI,77,254.91,49.7,neutral,falling,none,47.0,54.9,bear,neutral,none,below_mid,13.47,True,contracting,n/a,n/a,n/a,n/a,-24.1,below0,-67.7,neutral,flat,none,75.9,neutral,5.889,7.604,-1.716,below_signal,expanding_neg,none,above,259.11,242.44,,n/a (short),n/a,below,above,n/a,22.9,transitional,-DI>+DI,falling,green_buy,none,12.47,4.89,contracting,261.52,below,-2.53,257.09,262.59,249.41,280.38,254.44,mid_range
BBOX,352,825.5,28.9,oversold,falling,none,6.0,6.4,bear,oversold,none,below_lower,20.84,True,expanding,inside,bearish,below,none,-138.4,strong_down,-97.5,oversold,falling,bullish,43.8,neutral,-26.354,-9.563,-16.791,below_signal,expanding_neg,none,below,925.1,900.67,695.67,bullish,rising,below,below,above,29.1,trending,-DI>+DI,rising,red_sell,none,42.25,5.12,contracting,952.5,below,-13.33,840.03,859.07,806.47,975.77,893.27,below_S1
ELPROINTL,62,174.63,74.5,overbought,falling,none,77.8,75.2,bull,neutral,none,above_mid,2.2,True,contracting,n/a,n/a,n/a,n/a,29.3,above0,-19.4,overbought,flat,none,72.5,neutral,2.504,3.056,-0.551,below_signal,contracting_neg,none,above,172.57,163.01,,n/a (short),n/a,above,above,n/a,33.3,trending,-DI>+DI,falling,green_buy,none,2.92,1.67,expanding,172.96,above,0.96,174.01,176.91,171.72,177.85,168.71,mid_range
AMANTA,211,168.0,55.7,neutral,falling,none,38.9,44.7,none,neutral,none,above_mid,19.97,True,contracting,above,bullish,above,none,-7.3,below0,-59.2,neutral,rising,none,75.4,neutral,6.708,8.425,-1.718,below_signal,expanding_neg,bear,above,166.31,152.5,131.97,bullish,flat,above,above,above,35.8,trending,+DI>-DI,falling,green_buy,none,6.94,4.13,contracting,169.8,below,-1.06,166.18,170.39,163.79,188.37,170.61,below_S1
ADFFOODS,352,299.1,47.3,neutral,falling,none,10.3,18.6,bear,oversold,none,below_mid,8.77,True,contracting,above,bullish,above,none,-66.2,below0,-88.0,oversold,falling,none,85.2,overbought,4.896,7.81,-2.914,below_signal,expanding_neg,none,above,306.12,288.98,246.49,bullish,rising,below,above,above,40.5,trending,+DI>-DI,falling,green_buy,none,14.05,4.7,contracting,322.27,below,-7.19,297.95,303.35,293.7,328.1,307.1,below_S1
540786,350,20.89,61.8,neutral,rising,none,83.9,75.6,none,overbought,none,above_mid,27.26,True,contracting,above,bullish,above,none,46.0,above0,-28.5,neutral,rising,none,38.6,neutral,1.158,1.137,0.021,above_signal,expanding_pos,bull,above,19.08,16.92,14.79,bullish,rising,above,above,above,23.5,transitional,+DI>-DI,falling,green_buy,buy_flip,1.21,5.79,expanding,20.15,above,3.69,21.46,22.12,20.22,19.46,16.47,above_R1
AYMSYNTEX,351,244.91,58.1,neutral,flat,none,36.6,35.7,none,neutral,none,above_mid,25.74,False,contracting,above,bearish,above,none,41.9,above0,-56.2,neutral,falling,none,73.5,neutral,4.463,4.633,-0.17,below_signal,contracting_neg,none,above,234.75,226.6,206.42,bullish,rising,above,above,above,33.8,trending,+DI>-DI,falling,green_buy,none,14.9,6.09,expanding,247.53,below,-1.06,242.33,252.17,235.08,255.29,213.64,mid_range
SCPL,350,490.15,51.4,neutral,falling,none,13.6,12.9,bull,oversold,none,below_mid,21.18,True,contracting,above,bearish,above,none,-38.4,below0,-74.5,neutral,falling,none,63.7,neutral,5.052,11.291,-6.239,below_signal,contracting_neg,none,above,490.06,462.89,370.37,bullish,rising,above,above,above,24.6,transitional,+DI>-DI,falling,green_buy,none,30.95,6.31,contracting,522.62,below,-6.21,484.95,515.5,459.6,544.7,458.3,mid_range
MANINDS,352,529.55,39.6,neutral,falling,none,8.1,15.7,none,oversold,none,below_lower,12.9,True,expanding,inside,bearish,above,none,-101.1,strong_down,-98.0,oversold,falling,bullish,49.3,neutral,-2.26,4.15,-6.411,below_signal,expanding_neg,none,below,560.0,545.77,465.5,bullish,rising,below,below,above,22.1,transitional,-DI>+DI,falling,green_buy,none,22.73,4.29,contracting,576.67,below,-8.17,533.62,539.23,523.93,589.22,542.47,below_S1
VENUSPIPES,351,1708.8,52.5,neutral,falling,none,43.0,51.8,none,neutral,none,below_mid,12.47,True,contracting,above,bullish,above,none,-4.5,below0,-90.4,oversold,flat,none,70.7,neutral,70.271,86.204,-15.933,below_signal,expanding_neg,bear,above,1721.47,1577.19,1352.16,bullish,rising,below,above,above,28.7,trending,+DI>-DI,falling,green_buy,none,69.91,4.09,expanding,1729.88,below,-1.22,1746.43,1793.37,1661.87,1885.53,1719.73,below_S1
TALBROAUTO,352,405.1,58.7,neutral,falling,none,29.2,23.8,bull,neutral,none,above_mid,15.25,True,contracting,above,bullish,above,none,-8.3,below0,-59.5,neutral,flat,none,61.6,neutral,9.726,13.394,-3.669,below_signal,contracting_neg,none,above,396.69,370.2,312.24,bullish,rising,above,above,above,39.8,trending,+DI>-DI,falling,green_buy,none,17.55,4.33,contracting,404.67,above,0.11,400.98,413.97,392.12,423.17,394.52,mid_range
RRKABEL,352,2293.3,51.4,neutral,rising,none,43.9,45.5,bear,neutral,bearish,below_mid,15.94,True,contracting,above,bearish,above,none,-14.3,below0,-63.6,neutral,rising,none,32.1,neutral,36.575,50.57,-13.995,below_signal,expanding_neg,none,above,2299.67,2155.01,1713.29,bullish,rising,below,above,above,28.5,trending,+DI>-DI,falling,red_sell,none,99.91,4.36,expanding,2368.53,below,-3.18,2326.53,2381.77,2238.07,2335.67,2139.87,mid_range
SIGNPOST,350,326.9,69.1,neutral,rising,none,86.6,86.1,bull,overbought,none,above_mid,40.29,False,expanding,above,bullish,above,bull,75.8,above0,-10.7,overbought,rising,none,96.6,overbought,15.355,11.589,3.766,above_signal,contracting_pos,none,above,300.82,283.79,257.14,bullish,rising,above,above,above,38.3,trending,+DI>-DI,rising,green_buy,none,16.54,5.06,contracting,291.32,above,12.21,324.77,332.13,319.53,335.0,291.6,mid_range
DECNGOLD,62,192.75,50.5,neutral,falling,none,45.9,45.8,none,neutral,none,below_mid,20.55,True,contracting,n/a,n/a,n/a,n/a,-40.4,below0,-63.5,neutral,rising,none,68.5,neutral,5.831,8.321,-2.49,below_signal,expanding_neg,none,above,195.47,177.9,,n/a (short),n/a,below,above,n/a,30.9,trending,+DI>-DI,falling,green_buy,none,12.24,6.35,contracting,204.75,below,-5.86,194.34,196.68,190.41,216.3,190.9,mid_range
SPAL,351,992.2,44.6,neutral,falling,bearish,16.8,32.9,none,oversold,none,below_mid,21.58,True,contracting,above,bullish,above,none,-43.9,below0,-95.4,oversold,falling,none,74.1,neutral,42.241,65.478,-23.236,below_signal,expanding_neg,bear,above,1061.2,964.73,823.02,bullish,rising,below,above,above,41.1,trending,+DI>-DI,falling,green_buy,none,69.81,7.04,expanding,1092.67,below,-9.19,1007.13,1033.07,966.27,1227.17,1086.97,below_S1
VADILALIND,350,6716.0,66.1,neutral,flat,none,70.8,75.8,bear,neutral,bearish,above_mid,11.08,True,expanding,above,bullish,above,none,64.5,above0,-28.8,neutral,rising,none,73.4,neutral,264.94,272.687,-7.747,below_signal,expanding_neg,none,above,6380.42,5858.55,5206.06,bullish,rising,above,above,above,48.6,trending,+DI>-DI,falling,green_buy,none,232.12,3.46,expanding,6479.96,above,3.64,6704.17,6795.83,6624.33,6558.33,6228.33,above_R2
MENONBE,351,199.67,75.0,overbought,rising,none,98.2,96.1,none,overbought,none,above_upper,23.99,False,expanding,above,bullish,above,none,257.4,strong_up,-0.0,overbought,rising,bullish,84.9,overbought,8.114,5.737,2.377,above_signal,expanding_pos,bull,above,173.64,160.57,135.27,bullish,rising,above,above,above,35.5,trending,+DI>-DI,rising,green_buy,none,9.83,4.92,expanding,173.88,above,14.84,198.11,201.23,196.56,182.35,158.35,above_R2
UNIPARTS,351,676.0,54.8,neutral,rising,none,60.7,61.0,bear,neutral,none,above_mid,10.77,True,expanding,above,bullish,above,none,37.0,above0,-55.7,neutral,rising,bearish,55.7,neutral,15.676,16.264,-0.588,below_signal,expanding_neg,bear,above,669.66,631.76,527.05,bullish,rising,above,above,above,30.3,trending,+DI>-DI,rising,green_buy,none,25.7,3.8,expanding,676.83,below,-0.12,682.02,691.88,666.13,730.92,658.92,mid_range
GHCLTEXTIL,351,113.7,66.6,neutral,falling,none,87.4,83.8,none,overbought,none,above_mid,29.07,False,expanding,above,bullish,above,none,98.8,above0,-13.0,overbought,rising,none,82.8,overbought,4.858,4.031,0.828,above_signal,contracting_pos,none,above,105.6,98.69,87.0,bullish,rising,above,above,above,38.4,trending,+DI>-DI,rising,green_buy,none,4.78,4.21,expanding,105.2,above,8.08,113.59,116.08,111.21,113.69,104.5,above_R1
LLOYDSME,352,1865.4,62.7,neutral,rising,none,89.0,88.2,none,overbought,none,above_mid,10.52,True,expanding,above,bullish,above,none,112.5,strong_up,-7.4,overbought,rising,none,70.0,neutral,25.122,15.994,9.127,above_signal,expanding_pos,bull,above,1796.86,1743.08,1514.25,bullish,rising,above,above,above,22.1,transitional,+DI>-DI,rising,green_buy,buy_flip,57.43,3.08,expanding,1791.72,above,4.11,1847.03,1894.97,1817.47,1848.77,1729.67,above_R1
MAYURUNIQ,350,785.25,43.8,neutral,falling,none,22.9,29.1,none,neutral,none,below_mid,15.34,True,expanding,above,bearish,below,none,-103.7,strong_down,-83.7,oversold,falling,none,49.3,neutral,12.427,24.156,-11.729,below_signal,expanding_neg,none,above,822.29,768.77,628.54,bullish,rising,below,above,above,29.6,trending,-DI>+DI,falling,green_buy,none,37.56,4.78,expanding,841.54,below,-6.69,788.63,815.77,758.12,885.87,793.42,below_S1
SUDEEPPHRM,159,862.75,59.5,neutral,rising,bearish,71.7,62.8,none,neutral,none,above_mid,10.83,True,contracting,above,bullish,above,none,70.1,above0,-30.2,neutral,rising,none,62.8,neutral,21.47,21.867,-0.397,below_signal,contracting_neg,none,above,830.75,783.16,,n/a (short),n/a,above,above,n/a,41.2,trending,+DI>-DI,rising,green_buy,none,37.7,4.37,expanding,841.28,above,2.55,871.6,886.1,848.25,883.02,776.92,mid_range
ROSSTECH,352,990.9,49.7,neutral,rising,none,54.6,64.6,bear,neutral,none,above_mid,16.11,True,contracting,inside,bullish,above,none,15.6,above0,-58.5,neutral,rising,none,77.3,neutral,6.632,4.064,2.568,above_signal,contracting_pos,none,above,995.57,972.24,805.42,bullish,rising,below,above,above,18.7,choppy,+DI>-DI,rising,green_buy,none,48.43,4.89,contracting,995.71,below,-0.48,995.45,1009.8,976.55,1039.17,969.42,mid_range
ICIL,352,389.3,47.3,neutral,falling,bearish,6.3,7.6,none,oversold,none,below_mid,15.94,True,contracting,above,bullish,above,none,-47.7,below0,-93.6,oversold,falling,bearish,30.1,neutral,10.28,18.369,-8.089,below_signal,expanding_neg,none,above,402.52,369.26,311.04,bullish,rising,below,above,above,37.8,trending,+DI>-DI,falling,green_buy,none,19.9,5.11,contracting,422.82,below,-7.93,389.85,395.5,383.65,432.52,399.52,below_S1
AZAD,352,2329.7,57.3,neutral,falling,none,70.2,72.5,none,neutral,none,above_mid,30.5,False,expanding,above,bullish,above,bull,72.9,above0,-36.8,neutral,rising,bullish,75.0,neutral,82.377,66.149,16.228,above_signal,contracting_pos,none,above,2258.49,2142.66,1852.05,bullish,rising,above,above,above,26.0,trending,+DI>-DI,rising,green_buy,none,104.82,4.5,expanding,2275.06,above,2.4,2349.57,2388.13,2291.13,2618.67,2241.67,mid_range
