symbol,mcap_cr,yahoo_ticker,name,exchange,CMP,dist_52wh_pct,rsi,adx,above_ema200,above_ema50,vol_drying,vol_spike10,base_depth_pct,weeks_base,cmf,macd_hist,confA_macd,confB_cmf,confC_obv,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,next_resistance,vcp_contractions
AURIONPRO,4304.05,AURIONPRO.NS,Aurionpro Solutions Limited,NSE,778.0,53.3,43.2,13.9,False,False,False,False,22.8,91.2,-0.277,1.138,False,False,False,False,True,True,True,831.4,3
AUROPHARMA,84945.14,AUROPHARMA.NS,Aurobindo Pharma Limited,NSE,1462.3,5.66,54.1,20.3,True,True,True,False,14.0,85.8,-0.118,-7.216,True,False,True,True,True,True,False,1550.0,3
ASHOKA,3434.65,ASHOKA.NS,Ashoka Buildcon Limited,NSE,122.36,46.98,41.2,22.6,False,False,True,False,16.0,88.2,-0.351,-0.253,True,False,False,True,True,True,True,123.54,3
ATULAUTO,1298.76,ATULAUTO.NS,Atul Auto Limited,NSE,468.75,15.39,43.4,30.5,True,False,True,False,19.3,86.8,-0.069,-3.586,True,False,False,True,False,True,True,475.0,3
ASIANENE,1712.75,ASIANENE.NS,Asian Energy Services Limited,NSE,382.1,2.44,70.9,37.2,True,True,False,True,27.9,84.2,0.041,1.754,False,True,False,True,True,True,True,389.2,3
ASIANPAINT,257558.99,ASIANPAINT.NS,Asian Paints Limited,NSE,2686.7,10.01,66.1,32.9,True,True,True,True,18.6,84.8,-0.144,-4.28,False,False,False,True,False,True,True,2819.0,3
ASHOKLEY,85376.48,ASHOKLEY.NS,Ashok Leyland Limited,NSE,145.29,32.56,34.7,22.1,False,False,True,True,21.6,90.4,-0.14,-0.981,False,False,False,False,False,True,True,151.46,3
ASTEC,1684.09,ASTEC.NS,Astec LifeSciences Limited,NSE,758.0,24.08,54.7,41.1,True,True,True,False,34.1,85.0,0.06,-0.169,False,True,False,True,True,True,True,764.8,3
EBGNG,4794.18,EBGNG.NS,GNG Electronics Limited,NSE,420.55,13.25,46.4,28.2,True,True,True,False,27.0,72.4,-0.136,-2.287,False,False,True,True,False,True,True,430.0,3
ASIANTILES,1757.21,ASIANTILES.NS,Asian Granito India Limited,NSE,59.4,24.87,36.8,27.1,False,False,True,False,26.1,90.6,-0.122,-0.06,False,False,False,True,True,False,False,60.99,3
ASTRAMICRO,13472.22,ASTRAMICRO.NS,Astra Microwave Products Limited,NSE,1419.5,3.03,73.3,31.0,True,True,False,True,33.0,84.0,0.216,10.787,False,True,False,False,False,True,True,1433.0,3
INOXWIND,15035.67,INOXWIND.NS,Inox Wind Limited,NSE,86.79,54.05,38.2,21.8,False,False,True,True,24.6,88.0,-0.235,-1.333,False,False,False,False,False,False,True,98.37,3
ASTRAL,40791.84,ASTRAL.NS,Astral Limited,NSE,1518.8,14.13,45.0,12.6,False,False,True,True,13.8,91.4,-0.138,0.148,False,False,False,True,False,True,True,1529.8,3
IRB,25605.36,IRB.NS,IRB Infrastructure Developers Limited,NSE,21.17,22.0,47.4,17.7,False,False,False,False,17.7,86.2,0.046,-0.02,False,True,True,True,True,False,True,21.45,3
INOXINDIA,14344.26,INOXINDIA.NS,INOX India Limited,NSE,1578.8,2.3,65.1,21.6,True,True,True,False,24.1,89.8,0.059,4.16,False,True,False,True,True,True,True,1604.4,3
INTERARCH,2953.61,INTERARCH.NS,Interarch Building Solutions Limited,NSE,1763.3,36.17,44.1,26.7,False,False,False,False,29.8,87.8,-0.266,1.721,False,False,False,True,True,True,False,1811.0,3
ECOSMOBLTY,749.1,ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited,NSE,125.51,64.98,41.2,20.6,False,False,False,True,26.2,85.0,0.143,-1.939,False,True,True,True,False,True,True,148.18,3
ASTERDM,39045.6,ASTERDM.NS,Aster DM Healthcare Limited,NSE,754.0,2.9,59.5,20.9,True,True,True,False,14.7,86.2,-0.003,-3.166,True,False,True,True,True,True,False,770.0,3
INTELLECT,10437.1,INTELLECT.NS,Intellect Design Arena Limited,NSE,745.95,40.56,58.5,16.0,False,True,True,False,23.4,88.0,-0.297,3.303,False,False,True,False,True,True,True,760.2,3
IPCALAB,41677.48,IPCALAB.NS,IPCA Laboratories Limited,NSE,1641.9,2.17,62.1,27.1,True,True,False,True,14.7,86.0,-0.04,0.595,False,False,False,False,True,True,False,1662.2,3
IONEXCHANG,5153.86,IONEXCHANG.NS,ION Exchange (India) Limited,NSE,350.65,39.62,34.6,24.4,False,False,True,True,20.7,87.6,-0.214,-5.436,False,False,False,False,True,True,True,355.0,3
INOXGREEN,6959.86,INOXGREEN.NS,Inox Green Energy Services Limited,NSE,173.5,37.81,47.8,19.4,False,False,True,False,23.4,88.2,-0.189,-1.478,True,False,False,False,False,True,True,177.5,3
INDOTHAI,2856.61,INDOTHAI.NS,Indo Thai Securities Limited,NSE,221.92,52.41,28.3,37.8,False,False,True,True,34.2,87.6,-0.358,-3.268,True,False,False,False,True,True,True,262.9,3
